,text_excerpt,state,school type,grade,year,subject,doc_id
12131,"Glückskonzepte, wie sie von der Werbeindustrie und den Medien suggeriert werden. Inhalte zu den Kompetenzen: persönliche Glückserlebnisse in der Jugendzeit: z. B. erste Liebe, Glück durch Freundschaften, Glück durch Konsum, Glück durch Freizeit- und Feriengestaltung, schulischer Erfolg veränderte Glücksvorstellungen durch z. B. vergrößerten persönlichen Freiraum z. B. in der Freizeitgestaltung, beim Taschengeld, zunehmende Lebenserfahrung und veränderte soziale Bindungen Glücksstrategien in Bezug",Bayern,Realschule,,2023,"Ethik, Philo",12131
12132,"und gutes Leben Die Schülerinnen und Schüler können Glücksvorstellungen untersuchen und unterschiedliche Werte, die in Glücksvorstellungen und -versprechen enthalten sind, erschließen und bewerten. Sie können sich mit ihren Vorstellungen eines glücklichen und guten Lebens im Kontext von Freiheit, Gerechtigkeit und Verantwortung auseinandersetzen. Die Schülerinnen und Schüler können G M E aus verschiedenen Quellen z. B. Märchen, Werbung Vorstellungen von Glück angeleitet",BaWü,,Sek1,2016,"Ethik, Philo",12132
12133,"Kompetenz besondere Bedeutung zu. Im Deutschunterricht bieten sich Ansatzpunkte für interkulturelles Lernen vor allem bei der vergleichenden Textarbeit. Sie unterstützt die Verbreitung weltweit gültiger Literatur, lässt Erlebnisse und Erfahrungen mit Glück und Gerechtigkeit, Liebe und Leid deutlich werden. Sie bietet darüber hinaus Möglichkeiten der Akzentuierung auch im Hinblick auf die historische und laterale Betrachtungsweise der Sprachen, die den Perspektivwechsel unterstützt. Fremdsprachenunterricht",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",12133
12134,"Entwicklung unterstützen können. Inhalte zu den Kompetenzen: Veränderung der Selbstwahrnehmung in Kindheit und Jugend, Neubestimmung des Verhältnisses zu Eltern und Autoritäten; Lebensziele, z. B. Schulabschluss, Berufsausbildung, Karriereorientierung, Familiengründung, Berühmtheit, Reichtum, Glück Suggestionen der virtuellen Welt, z. B. Schönheitsideale, einfacher Weg zu Ruhm und Reichtum; Gefahr des Realitätsverlustes und der Wirklichkeitsverdrängung; Sinnangebote aus dem Bereich Esoterik und Lebenshilfe, z. B. Gemeinschaft, Heilung,",Bayern,Realschule,,2023,"Ethik, Philo",12134
12135,"gelingende Kommunikation z. B. F. Schulz von Thun, Achtsamkeit Hinweise auf Glück im philosophischen Denken: Texte zum Zusammenhang zwischen Glück und verantwortbarer Lebensführung, z. B. Aristoteles, E. Fromm Hinweise auf Glück in den Weltreligionen, z. B. Hinduismus, Buddhismus Glücksindizes, z. B. Happy Planet Index Glücksversprechungen z. B. der Medien, Werbeindustrie, virtuellen Realität: Schönheit, materieller Wohlstand, beruflicher Erfolg, Jugendlichkeit, Genuss Kompetenzerwartungen Die",Bayern,Realschule,,2023,"Ethik, Philo",12135
12136,"Materialien trennen Umwelt schützen MUS Musik reflektieren BNE Teilhabe, Mitwirkung, Mitbestimmung PG Selbstregulation und Lernen Wahrnehmen und sich hineinversetzen , Beurteilen und sich entscheiden , Ich und meine Freundschaften , Glückliches und gutes Leben , BK Bild BNT Materialien trennen Umwelt schützen MUS Musik reflektieren BNE Teilhabe, Mitwirkung, Mitbestimmung PG Selbstregulation und Lernen Ich und meine Freundschaften Die Schülerinnen und Schüler",BaWü,,Sek1,2016,"Ethik, Philo",12136
12137,"Materialien trennen Umwelt schützen MUS Musik reflektieren BNE Teilhabe, Mitwirkung, Mitbestimmung PG Selbstregulation und Lernen Wahrnehmen und sich hineinversetzen , Beurteilen und sich entscheiden , Ich und meine Freundschaften , Glückliches und gutes Leben , BK Bild BNT Materialien trennen Umwelt schützen MUS Musik reflektieren BNE Teilhabe, Mitwirkung, Mitbestimmung PG Selbstregulation und Lernen Wahrnehmen und sich hineinversetzen , Beurteilen und sich",BaWü,,Sek1,2016,"Ethik, Philo",12137
12138,"diesen im Kontext von Vorstellungen eines gelungenen Zusammenlebens z. B. bezogen auf Gerechtigkeit, Verantwortung auseinandersetzen Wahrnehmen und sich hineinversetzen , Beurteilen und sich entscheiden , Ich und meine Freundschaften , Glückliches und gutes Leben , BK Bild BNT Materialien trennen Umwelt schützen MUS Musik reflektieren BNE Teilhabe, Mitwirkung, Mitbestimmung PG Selbstregulation und Lernen Wahrnehmen und sich hineinversetzen , Beurteilen und sich",BaWü,,Sek1,2016,"Ethik, Philo",12138
12139,"sind. Sie sind sich des Zusammenhangs zwischen der Begrenztheit des Lebens und der Sinnorientierung des Menschen bewusst. Die Schülerinnen und Schüler machen sich Gedanken darüber, was für sie persönlich ein glückliches Leben ausmacht und erkennen, dass sie altersbedingt in zunehmendem Maß für ihr persönliches Glück verantwortlich sind. Anhand ökologischer und ethischer Kriterien, wie z. B. Mitverantwortung und Solidarität, zeigen die Schülerinnen",Bayern,Realschule,,2023,"Ethik, Philo",12139
12140,"Glück zu finden bzw. mit Frustration umzugehen. Inhalte zu den Kompetenzen: individuelle Glückserlebnisse, z. B. Geburt eines Geschwisterkindes, Sieg des Sportvereins, Erfolg in der Schule, Erhalten eines Geschenkes Glück als glücklicher Zufall luck und Glückseligkeit happiness persönliche und kulturelle Voraussetzungen für unterschiedliche Glücksvorstellungen: z. B. Leben in Armut bzw. Reichtum, Alter, persönliche Weltanschauung, Religion Glück durch materielle und immaterielle Dinge positive",Bayern,Realschule,,2023,"Ethik, Philo",12140
