Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
gerecht,gerechtigkeit,gerecht,ethik,gerechtigkeit,gerechtigkeit,gerechtigkeit
medium,verantwortung,einzeln,gerechtigkeit,politisch,sozial,wert
kommunikation,analysier,fachübergreifend,gerecht,sozial,bezug,gerecht
bildung,freiheit,gesellschaft,religion,gesellschaft,beitrag,handeln
gerechtigkeit,konflikt,sozial,sinn,gerecht,marktwirtschaft,verschieden
politisch,beurteilen,inhalt,moral,demokratie,wert,unterschiedlich
unterricht,handeln,frage,mensch,demokratisch,europäisch,leben
begriff,grundlage,erschließen,freiheit,prinzip,gerecht,verantwortung
kompetenz,mensch,lernen,frage,staat,bleiben,frage
fach,welt,fachbezoge,kompetenz,gesellschaftlich,kompetenz,gesellschaftlich
afb,leben,erziehung,grundlage,staatlich,leitperspektive,möglichkeit
beziehung,medium,sprachbildung,politik,gesetz,iii,regel
gruppe,bedeutung,umsetzungshilfen,interessenausgleich,funktion,familie,sozial
gestalten,hineinversetz,gestalten,angewandte,ökonomisch,ökologisch,norm
digital,interpretieren,leitperspektiven,verantwortung,position,entwicklung,freiheit
welt,entscheiden,interkulturelle,krieg,problem,nachhaltig,perspektive
wirklichkeit,beschreiben,rechtserziehung,recht,strafe,handeln,diskutieren
thematisch,zusammenleben,modul,frieden,form,sicherung,gut
wirtschaft,identität,bezug,grundrecht,leistung,herausforderung,hinblick
anforderung,natur,aufgabengebiete,selbstverständnis,wirtschaftlich,beispiel,problem
