subject,-1_beschreiben_mobbing_vergleichen_vorurteile klischees,0_historische_eigene_wertvorstellungen_gegenwart,1_rolle_gegenber_weltanschauung_mobbing,2_beschreiben_wahrnehmung_knnen_analysieren,3_klischees_stereotypen klischees_formen vorurteilen_vorurteilen stereotypen,4_vorurteil_urteil_mensch_ursachen,entropy,subject_total,subject_proportion
Bio,0.0,0.0,0.25,0.75,0.0,0.0,0.8113,4,0.014
"Ethik, Philo",0.0904,0.0113,0.0791,0.6045,0.1073,0.1073,1.8062,177,0.6211
Geschichte,0.0,0.3514,0.0,0.2432,0.2973,0.1081,1.8935,37,0.1298
Psychologie,0.0,0.0,0.05,0.75,0.2,0.0,0.9918,20,0.0702
Sozialkunde,0.0,0.0,0.0,0.617,0.1702,0.2128,1.3397,47,0.1649
TOTAL,0.0561,0.0526,0.0561,0.5719,0.1474,0.1158,1.9184,285,1.0
