term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
freiheit,93,0.0069,0.0,0.0001,0.0001,0.0001,0.0094,0.0076,0.0019,0.0079,0.0,0.0,0.0,0.0189,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
bezug,89,0.003,0.0,0.0118,0.0001,0.0001,0.0074,0.0,0.0,0.0,0.0125,0.0,0.0103,0.0084,0.0,0.0001,0.005,0.0,0.0002,0.0013,0.0028
perspektive,88,0.005,0.0,0.0001,0.0001,0.0001,0.0,0.0043,0.0046,0.0052,0.0,0.0089,0.0129,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0001
lernen,86,0.0,0.0065,0.0001,0.0001,0.0001,0.0113,0.0006,0.0168,0.0039,0.0,0.0,0.0,0.0001,0.0007,0.0001,0.0,0.0,0.0002,0.0,0.0
bne,85,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0001,0.0412,0.0001,0.0,0.0113,0.0002,0.0,0.0
möglichkeit,85,0.0002,0.0022,0.0001,0.0001,0.0001,0.0,0.0014,0.0077,0.0001,0.0,0.0084,0.0,0.0001,0.0,0.0001,0.0374,0.0,0.0002,0.0,0.0
handlung,82,0.0128,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0001,0.0,0.0001,0.0011,0.0138,0.0002,0.0,0.0027
argument,82,0.0079,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.04,0.0
gewissen,81,0.0031,0.0,0.0001,0.0001,0.0001,0.0022,0.0,0.0,0.0065,0.0,0.0,0.0,0.0565,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
toleranz,81,0.0007,0.0085,0.0001,0.0001,0.0001,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0001,0.0263,0.0001,0.0,0.0029,0.0002,0.003,0.0
begriff,79,0.0059,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0039,0.011,0.0069,0.0,0.0,0.0015,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0085
menschenrecht,78,0.0,0.0301,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0162,0.0001,0.0,0.0043,0.0002,0.0,0.0
umgang,77,0.0042,0.0039,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0001,0.0,0.0062,0.0063,0.0097,0.0002,0.0067,0.0001
inhalt,76,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0037,0.0067,0.0,0.0,0.0,0.0002,0.0001,0.0062,0.0061,0.0,0.0,0.0002,0.0145,0.0118
entwickeln,75,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0093,0.0,0.0071,0.0001,0.0,0.0001,0.0298,0.0007,0.0002,0.0097,0.0
sachverhalt,74,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0275,0.0128,0.0066,0.0,0.0001,0.0003,0.0,0.0002,0.0,0.0001
verantwortung,72,0.0109,0.0,0.0001,0.0001,0.0001,0.0144,0.0,0.0013,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0038,0.0002,0.0,0.0001
werturteil,72,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.015,0.0,0.0,0.0,0.0289,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0001,0.0
form,72,0.0,0.0093,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.0001,0.0116,0.0001,0.0,0.0056,0.0002,0.0,0.0
folge,71,0.0032,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0119,0.0098,0.0033,0.0032,0.0001,0.0,0.0,0.0002,0.0096,0.0
demokratisch,70,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0079,0.0,0.007,0.0181,0.0,0.0,0.0072,0.0,0.0002,0.0,0.0059,0.0002,0.0,0.0
aussage,68,0.0101,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0126,0.0
konflikt,68,0.0,0.0108,0.0001,0.029,0.0001,0.0015,0.0,0.0,0.0,0.0039,0.0,0.0062,0.0033,0.0061,0.0001,0.0,0.0,0.0183,0.0,0.0
entscheidungssituation,68,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0001,0.0,0.0001,0.0,0.0066,0.0002,0.0,0.0
rechtlich,67,0.0,0.0127,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0041,0.0002,0.0,0.0
beitrag,66,0.0,0.0,0.0001,0.0409,0.0248,0.0083,0.0,0.0,0.0,0.0,0.0,0.0031,0.0001,0.0072,0.0001,0.0026,0.0,0.0002,0.0,0.0
persönlich,66,0.0,0.0,0.0001,0.0001,0.0001,0.0107,0.0,0.0,0.0,0.0,0.0073,0.0128,0.0001,0.0039,0.0031,0.0059,0.0,0.0002,0.0,0.0
miteinander,65,0.0047,0.0,0.0122,0.014,0.0001,0.0012,0.0,0.0,0.0036,0.0078,0.0,0.0,0.0022,0.0048,0.0001,0.0,0.0006,0.0002,0.0,0.0
unterrichtsfach,64,0.0,0.004,0.0091,0.0001,0.0224,0.0,0.0,0.0037,0.0,0.0,0.0,0.0028,0.0001,0.0,0.0193,0.0,0.0,0.0002,0.0,0.0042
relevant,64,0.0029,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0098,0.0,0.0,0.0185,0.0001,0.0,0.0001,0.0003,0.0,0.0002,0.0,0.0
bereich,63,0.0012,0.0,0.0343,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0166,0.0,0.0,0.0001,0.0,0.0001,0.0036,0.0,0.0002,0.0,0.0
menschlich,62,0.0007,0.0,0.0001,0.0112,0.0001,0.0,0.0,0.0101,0.0,0.0,0.0,0.0068,0.0001,0.0,0.0001,0.0,0.0044,0.0002,0.0,0.0
philosophisch,62,0.0022,0.0,0.0076,0.0001,0.0001,0.0,0.0001,0.0039,0.0,0.013,0.0,0.0,0.0001,0.0,0.0015,0.0,0.0076,0.0002,0.0,0.0
europäisch,61,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
formulieren,61,0.0,0.0,0.0001,0.0001,0.0225,0.0,0.0,0.0,0.0,0.0,0.0271,0.0,0.0001,0.0041,0.0001,0.0,0.0,0.0002,0.0,0.0
funktion,61,0.0101,0.0,0.0001,0.0001,0.0001,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0001,0.0049,0.0001,0.0,0.0,0.0002,0.0,0.0
jugendliche,60,0.0025,0.0023,0.0001,0.0001,0.0001,0.0248,0.0034,0.0,0.0,0.0,0.0,0.0033,0.0001,0.0,0.0001,0.0036,0.0,0.0002,0.0,0.0
urteil,60,0.0075,0.0,0.0001,0.0001,0.0001,0.0,0.0032,0.0,0.0073,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0109,0.0
bestimmt,60,0.0,0.0,0.0184,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0001,0.0001,0.0045,0.0002,0.0,0.0188
gesetz,59,0.0001,0.0,0.0382,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0103,0.0,0.0062,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
zusammenhang,58,0.0022,0.0,0.0001,0.0001,0.0001,0.0,0.0187,0.0027,0.0016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0
grundgesetz,57,0.0,0.0275,0.0091,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
reflexion,57,0.0004,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0071,0.0013,0.0162,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0058,0.0002,0.0,0.0
einzeln,56,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0138,0.0,0.0077,0.0,0.0001,0.0,0.0001,0.0,0.0034,0.0031,0.0067,0.0
sicherheit,55,0.0,0.0064,0.0001,0.0001,0.0001,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0057,0.0215
kulturell,55,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0091,0.0191,0.0,0.0,0.0066,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0065
problem,55,0.0047,0.012,0.0001,0.0001,0.0001,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0109,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0025
nachhaltig,54,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0,0.0035,0.0,0.0,0.0036,0.0001,0.0095,0.0001,0.0103,0.0071,0.0002,0.0,0.0
überprüfen,54,0.0008,0.0239,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0148,0.0
rolle,54,0.0,0.0,0.0001,0.0001,0.0001,0.0116,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.005,0.003,0.0,0.0,0.0002,0.0,0.0237
diskussion,53,0.0041,0.0,0.0001,0.0001,0.0001,0.0,0.0118,0.0027,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0006,0.0
medium,53,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0269,0.0002,0.0,0.0
natur,53,0.0121,0.0013,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0082,0.0,0.0007,0.0002,0.0,0.0
ziel,52,0.0,0.0,0.0001,0.0001,0.0295,0.0058,0.0,0.0067,0.0,0.0,0.0,0.0,0.0001,0.0057,0.0001,0.0,0.0,0.0002,0.0,0.0
erschließen,52,0.0082,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0058,0.0,0.0066,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
familie,52,0.0006,0.0,0.0156,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0265
gelten,52,0.0,0.0,0.0217,0.0001,0.0001,0.0062,0.0,0.0074,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
institution,51,0.0009,0.0058,0.0001,0.0001,0.0001,0.0053,0.015,0.0,0.0,0.002,0.0,0.0009,0.0001,0.0,0.0001,0.0,0.0009,0.0002,0.0,0.0
nehmen,51,0.0,0.0108,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0135,0.0034,0.0044,0.0031,0.0001,0.0,0.0,0.0002,0.0,0.0
pflicht,51,0.0134,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
technisch,50,0.0,0.0,0.0399,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
kenntnis,50,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0138,0.0139,0.0001,0.0,0.0,0.0002,0.0,0.0
wissen,50,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0045,0.0,0.0041,0.0,0.0001,0.0,0.0084,0.0077,0.0107,0.0002,0.0,0.0
iii,49,0.0,0.0,0.0001,0.025,0.0001,0.0,0.0,0.0,0.0,0.0,0.0227,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
