term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
politisch,114,0.0002,0.0006,0.0023,0.0003,0.0444,0.0018,0.0057,0.0002,0.065,0.0006,0.041,0.054,0.0002,0.0631,0.0191,0.0172,0.0003,0.0017,0.0009,0.0002
fähigkeit,68,0.0002,0.0007,0.0017,0.0003,0.0264,0.0018,0.0007,0.0002,0.0316,0.0006,0.0001,0.0001,0.0002,0.032,0.0003,0.0003,0.005,0.0017,0.001,0.0302
vertreten,62,0.0002,0.0007,0.0019,0.0003,0.0003,0.0018,0.0001,0.0002,0.0011,0.0006,0.0401,0.0427,0.018,0.0146,0.0003,0.0003,0.0003,0.0016,0.0125,0.0002
entwickeln,60,0.0064,0.0006,0.0017,0.0003,0.0003,0.0249,0.0068,0.0058,0.0847,0.0006,0.0001,0.0001,0.0002,0.0001,0.0003,0.0003,0.0003,0.0017,0.0008,0.0001
mensch,60,0.0002,0.0006,0.0017,0.0352,0.0003,0.0018,0.0455,0.0005,0.0001,0.0383,0.0353,0.0103,0.0002,0.0001,0.0003,0.0403,0.0314,0.0017,0.0009,0.0029
gesellschaftlich,55,0.0097,0.0006,0.0017,0.0003,0.0003,0.0018,0.0002,0.0044,0.0475,0.0006,0.0001,0.0039,0.0349,0.0034,0.0284,0.0114,0.0003,0.0017,0.0009,0.0103
position,55,0.0002,0.0182,0.0017,0.067,0.0003,0.0018,0.0002,0.0001,0.0001,0.0006,0.0001,0.0001,0.0002,0.0469,0.011,0.001,0.0003,0.0016,0.0009,0.0001
entscheidung,54,0.0048,0.0006,0.002,0.0004,0.0003,0.0018,0.0002,0.0002,0.0,0.0006,0.0001,0.1064,0.0166,0.0046,0.0004,0.0004,0.0003,0.0016,0.0009,0.0003
ökonomisch,48,0.0002,0.0006,0.0018,0.0003,0.0003,0.0018,0.0001,0.0859,0.053,0.0006,0.0001,0.0047,0.0186,0.0001,0.019,0.0003,0.0003,0.0016,0.0009,0.0004
welt,47,0.0002,0.0006,0.0017,0.0006,0.0003,0.0248,0.0002,0.0001,0.0001,0.0006,0.0001,0.0001,0.0002,0.0001,0.0103,0.0917,0.0125,0.0017,0.0008,0.0245
sozial,46,0.0002,0.0006,0.0018,0.0003,0.0083,0.0018,0.0039,0.0907,0.0001,0.0006,0.0001,0.0048,0.0241,0.0092,0.0097,0.0003,0.0003,0.0017,0.0009,0.0001
frage,40,0.0002,0.0266,0.0017,0.0004,0.0079,0.0018,0.0075,0.007,0.0001,0.0006,0.0001,0.001,0.0002,0.0056,0.0003,0.0154,0.0644,0.0018,0.0118,0.0019
wirtschaftlich,39,0.0002,0.0006,0.002,0.0003,0.012,0.0018,0.0002,0.0023,0.0038,0.0006,0.0001,0.0368,0.0355,0.0004,0.0004,0.0173,0.0003,0.0016,0.0009,0.0002
urteil,38,0.0022,0.0162,0.0017,0.0305,0.0163,0.0018,0.0007,0.0001,0.0038,0.0006,0.0001,0.0014,0.0002,0.0189,0.05,0.0003,0.0003,0.0227,0.0009,0.0034
handeln,35,0.0002,0.0006,0.0017,0.0003,0.0003,0.0018,0.0002,0.0524,0.0007,0.033,0.0001,0.0001,0.0002,0.0178,0.0003,0.0003,0.0003,0.0017,0.0009,0.0001
formulieren,34,0.0002,0.0136,0.0028,0.0003,0.0016,0.0018,0.0002,0.0001,0.0,0.0006,0.0001,0.0393,0.0002,0.0001,0.0004,0.0004,0.0088,0.0016,0.0009,0.0071
sinn,34,0.0002,0.0006,0.0019,0.0003,0.0151,0.0018,0.0002,0.0001,0.0,0.023,0.0091,0.0372,0.0002,0.0001,0.0003,0.0005,0.0003,0.0017,0.0008,0.002
reflektiert,33,0.0002,0.0006,0.0025,0.0003,0.0003,0.0018,0.0002,0.0001,0.0001,0.0006,0.0001,0.0379,0.0002,0.0139,0.0003,0.0003,0.0003,0.0017,0.0009,0.0088
zusammenhang,33,0.0002,0.0006,0.0243,0.0003,0.0003,0.0018,0.008,0.015,0.0,0.0006,0.0367,0.0001,0.0002,0.0015,0.0289,0.0003,0.0003,0.0016,0.0009,0.0173
