subject_clean,Auseinandersetzung · Menschenbild · Gter,Bedrfnissen Regeln · Zusammenhang · Bedrfnisse Bedrfnisse,Begriffe · Philosophieunterricht · Konsum,Bewegung · Wnsche Medien · Medienanalyse,Ddr · Zentralverwaltungswirtschaft · Marktwirtschaft Zentralverwaltungswirtschaft,Empfindung Bedrfnisse · Wahrnehmung Empfindung · Empfindung,Eth · Gesellschaft · Solidaritt,Kein Thema (Ausreißer),Lebens · Ethik · Gemeinschaft,Medien · Gesellschaftliche · Gestaltet,Prinzipien · Datenschutz · Konsequenzen,Privaten · Glck · Grundbedrfnis,Sucht · Inhaltsbezogene · Inhaltsbezogene Methodischdidaktische,Themenfelder · Fhigkeiten · Aktiv,Wahrzunehmen · Deuten · Weise,Wirtschaft · Marktwirtschaft · Gem,entropy,subject_total,subject_proportion
Bio,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.0,0.475,0.0,0.075,0.0,0.2,0.0,0.075,2.2164,40,0.0625
"Ethik, Philo",0.0605,0.0789,0.05,0.0632,0.0289,0.0789,0.0,0.2132,0.1316,0.0105,0.0395,0.0737,0.0763,0.0,0.0474,0.0474,3.5299,380,0.5938
Geschichte,0.0,0.0,0.0,0.0,0.1042,0.0208,0.0,0.0625,0.125,0.0,0.0208,0.0833,0.0208,0.0625,0.0208,0.4792,2.4876,48,0.075
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.1429,0.0,0.5,0.0,0.0714,0.0,0.1429,0.0,0.0714,2.118,14,0.0219
Sozialkunde,0.0633,0.0,0.019,0.0,0.0,0.0,0.1329,0.0949,0.0,0.3987,0.038,0.0886,0.0316,0.0949,0.0,0.038,2.7473,158,0.2469
