topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_gesellschaft_ethik_recht_verantwortung,0.01,0.62,0.0433,0.0033,0.3233,1.2444,300,0.2234
0_recht_freiheit_verantwortung_ethik,0.0326,0.8527,0.031,0.0016,0.0822,0.823,645,0.4803
1_soziale_politik_sozialen_sozialer,0.0092,0.078,0.0688,0.0046,0.8394,0.8624,218,0.1623
2_wissen_bergang_oberstufe_ziel,0.093,0.6279,0.1163,0.0,0.1628,1.5276,43,0.032
3_klassenstufe_strken_klassenstufen_lernausgangslage,0.0,0.4483,0.1379,0.0,0.4138,1.4399,29,0.0216
4_neue_digitalen_welt_digitale,0.32,0.36,0.12,0.0,0.2,1.8881,25,0.0186
5_medien kommunikation_kommunikation_konflikte_medien,0.0,0.0,0.0,0.0,1.0,0.0,22,0.0164
6_afb_anforderungen gerecht_legen_werte normen,0.1875,0.5,0.125,0.1875,0.0,1.7806,16,0.0119
7_lediglich_allein_aufgefhrten_reproduktion,0.1333,0.1333,0.3333,0.0667,0.3333,2.0923,15,0.0112
8_courage_begriffe_problem_ethisch,0.0,0.9333,0.0,0.0667,0.0,0.3534,15,0.0112
9_sozialstaates_leistungsgerechtigkeit_sozialer gerechtigkeit_zugleich,0.0,0.0,0.0,0.0,1.0,0.0,15,0.0112
TOTAL,0.032,0.615,0.0499,0.006,0.2971,1.3703,1343,1.0
