,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,gesellschaft,0.0271,recht,0.0319,soziale,0.0503,wissen,0.0682,klassenstufe,0.127,neue,0.1374,medien kommunikation,0.1733,afb,0.3524,lediglich,0.3414,courage,0.2245,sozialstaates,0.2068
1,ethik,0.0229,freiheit,0.029,politik,0.0421,bergang,0.0606,strken,0.117,digitalen,0.1273,kommunikation,0.1539,anforderungen gerecht,0.1445,allein,0.3244,begriffe,0.179,leistungsgerechtigkeit,0.1839
2,recht,0.021,verantwortung,0.0277,sozialen,0.0374,oberstufe,0.0552,klassenstufen,0.1132,welt,0.1209,konflikte,0.1342,legen,0.1445,aufgefhrten,0.3244,problem,0.1276,sozialer gerechtigkeit,0.1479
3,verantwortung,0.0207,ethik,0.0255,sozialer,0.0349,ziel,0.0539,lernausgangslage,0.0825,digitale,0.1123,medien,0.1337,werte normen,0.1377,reproduktion,0.3187,ethisch,0.1246,zugleich,0.1387
4,gerechte,0.0196,handeln,0.0246,politische,0.0323,handeln,0.0503,ende,0.0714,medien,0.0993,gestaltet,0.1333,regel,0.1336,sachverhalte,0.311,begriffen,0.1235,sozialer,0.1315
5,freiheit,0.0196,beispiel,0.0231,marktwirtschaft,0.0314,unterschiedliche,0.0451,zwei,0.0603,kultusministerkonferenz,0.0928,beeinflussen,0.1289,mssen,0.1256,ansprchen,0.3041,formulieren,0.1224,verhalten,0.1234
6,lernbereich,0.0194,menschenrechte,0.0226,gesellschaft,0.03,miteinander,0.0449,innerhalb,0.0585,rahmenplan,0.0915,beeinflussen medien,0.1084,reproduktion,0.1245,kompetenzerwartungen,0.278,zivilcourage,0.1152,position,0.1148
7,demokratie,0.0187,bedeutung,0.022,sozialer gerechtigkeit,0.0298,basis,0.0439,fhigkeiten,0.058,mediale,0.091,gruppen vlkern,0.1075,normen,0.1194,berprfen,0.2658,erstellen,0.1074,sozialstaat,0.1034
8,dabei,0.018,werte,0.0219,deutschland,0.027,toleranz,0.0437,ausgewiesen,0.0567,bestandteil,0.0904,einzelnen gruppen,0.1075,drei,0.1179,verlauf,0.2428,funktionen,0.1003,gerechtigkeit fairness,0.102
9,ustd,0.0175,leben,0.0211,entwicklung,0.0263,daher,0.0436,vier,0.0558,formuliert,0.0855,konflikte konfliktlsungen,0.1066,werte,0.1126,ausbildung,0.2361,beziehen,0.0997,fairness,0.0925
10,handeln,0.0174,natur,0.0194,konomischen,0.0246,gesichtspunkten,0.0415,themenfeld,0.0535,bildungsauftrag,0.0824,vlkern,0.1066,persnlichkeit,0.1122,schulischen,0.2227,aufeinander,0.0901,erkennen,0.087
11,kompetenzen,0.0171,beurteilen,0.0194,politischen,0.0238,sekundarstufe,0.0414,erwartungen,0.051,umsetzung,0.0817,konfliktlsungen,0.1058,bersicht ber,0.1084,komplexitt,0.2183,inhaltsbezogene,0.0853,zugang,0.0869
12,werte,0.0162,analysieren,0.0192,soziale gerechtigkeit,0.0231,eigene,0.0413,verbundenen,0.051,fcher,0.0817,kommunikation beeinflussen,0.1044,anforderungen,0.1038,dabei,0.2172,ungerecht behandelt,0.0839,gerechtigkeit leistungsgerechtigkeit,0.0853
13,fragen,0.016,moral,0.0188,beurteilen,0.0229,sollen,0.041,beschriebenen,0.051,prozesse,0.0798,gruppen,0.0982,fllen,0.1037,sekundarstufe,0.2125,argumente,0.0839,leisten,0.0853
14,soziale,0.0159,erlutern,0.0185,wirtschaft,0.0201,guten,0.0406,schrfen,0.051,stellen,0.0725,sicht,0.0936,faches,0.1037,anforderungen,0.1772,ber,0.083,prflinge,0.0839
15,politischen,0.0159,menschen,0.0184,gemeinwohl,0.0198,werte,0.0384,bildung,0.0501,anforderungen,0.0687,einzelnen,0.0815,leistet,0.1011,leistungen,0.1753,perspektiven,0.0824,gesamte,0.0814
16,probleme,0.0158,recht gerechtigkeit,0.0178,folgen,0.0197,anforderungen,0.0384,differenzierter weise,0.0499,bildung,0.0564,beziehungen einzelnen,0.0783,bersicht,0.1,dargestellt,0.1233,behandelt,0.0787,gleichen,0.0793
17,wahlbereich,0.0157,fragen,0.0175,demokratie,0.0196,beschreiben,0.0383,differenzierter,0.0499,kompetenzen,0.0543,tolerant gerecht,0.0783,ideen,0.1,verbindlichen,0.1125,kompetenzen methodischdidaktische,0.0778,sozialen gerechtigkeit,0.0774
18,beschreiben,0.0156,diskutieren,0.0168,freiheit,0.0184,normen,0.0383,kurshalbjahre,0.0489,sollen,0.0485,tolerant,0.0783,verbindlichen,0.0989,oberstufe,0.1062,methodischdidaktische,0.0778,gerade,0.0757
19,globale,0.0155,normen,0.0165,demokratischen,0.0182,pluralitt,0.038,verbindlich,0.0489,digitaler,0.0459,konfliktlsungen beziehungen,0.0783,formuliert,0.0969,grundstze,0.1021,methodischdidaktische hinweise,0.0778,mssen,0.0729
