subject,-1_gesellschaft_ethik_recht_verantwortung,0_recht_freiheit_verantwortung_ethik,1_soziale_politik_sozialen_sozialer,2_wissen_bergang_oberstufe_ziel,3_klassenstufe_strken_klassenstufen_lernausgangslage,4_neue_digitalen_welt_digitale,5_medien kommunikation_kommunikation_konflikte_medien,6_afb_anforderungen gerecht_legen_werte normen,7_lediglich_allein_aufgefhrten_reproduktion,8_courage_begriffe_problem_ethisch,9_sozialstaates_leistungsgerechtigkeit_sozialer gerechtigkeit_zugleich,entropy,subject_total,subject_proportion
Bio,0.0698,0.4884,0.0465,0.093,0.0,0.186,0.0,0.0698,0.0465,0.0,0.0,2.2228,43,0.032
"Ethik, Philo",0.2252,0.6659,0.0206,0.0327,0.0157,0.0109,0.0,0.0097,0.0024,0.0169,0.0,1.5025,826,0.615
Geschichte,0.194,0.2985,0.2239,0.0746,0.0597,0.0448,0.0,0.0299,0.0746,0.0,0.0,2.6165,67,0.0499
Psychologie,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.375,0.125,0.125,0.0,2.4056,8,0.006
Sozialkunde,0.2431,0.1328,0.4586,0.0175,0.0301,0.0125,0.0551,0.0,0.0125,0.0,0.0376,2.2198,399,0.2971
TOTAL,0.2234,0.4803,0.1623,0.032,0.0216,0.0186,0.0164,0.0119,0.0112,0.0112,0.0112,2.193,1343,1.0
