topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,21,357,80,14,24,496
2,322,400,39,16,46,823
3,111,296,213,14,273,907
4,89,113,113,3,17,335
5,605,53,5,4,7,674
6,13,708,147,19,45,932
7,126,232,197,7,123,685
