topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,0,8,1,0,8,17
2,1,0,15,0,1,17
3,0,3,1,0,19,23
4,24,0,0,0,0,24
5,0,3,3,0,68,74
6,0,2,4,0,15,21
7,34,1,3,0,1,39
8,11,0,0,0,0,11
9,2,3,3,2,5,15
10,0,1,4,0,22,27
