topic_id,"Ethik, Philo",Geschichte,Sozialkunde,total
1,25,0,0,25
2,75,0,2,77
3,2,0,0,2
4,18,0,0,18
5,68,0,0,68
6,60,0,0,60
7,6,0,0,6
8,0,0,0,0
9,16,0,0,16
10,31,1,0,32
11,25,0,0,25
12,18,0,0,18
13,27,0,0,27
14,49,0,0,49
15,20,0,0,20
16,61,0,0,61
17,6,0,0,6
18,22,0,0,22
19,116,1,1,118
20,11,0,0,11
