topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,228,0,0,0,228
2,38,7,13,0,58
3,130,17,0,0,147
4,208,0,0,0,208
5,172,1,0,0,173
6,84,8,1,2,95
7,175,1,0,0,176
