topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,20,0.1318,195,45.4174
2,6,0.128,196,62.8296
3,12,0.094,135,60.8014
4,16,0.072,98,38.0699
5,3,0.0684,84,40.226
6,11,0.0585,65,105.0312
7,19,0.048,60,52.4586
8,14,0.0463,46,51.7526
9,10,0.0451,57,66.063
10,18,0.0423,42,42.262
11,9,0.0405,47,203.4117
12,8,0.0377,34,93.4558
13,15,0.033,29,94.1569
14,7,0.0264,31,128.8061
15,17,0.0261,28,97.2795
16,13,0.0249,27,98.9001
17,2,0.0245,22,60.7909
18,1,0.0236,16,56.0873
19,4,0.0163,15,69.2237
20,5,0.0125,9,77.866
