topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,12,13,3,2,3,33
2,0,4,0,0,1,5
3,2,12,0,0,18,32
4,0,14,0,0,1,15
5,1,5,4,0,7,17
6,1,4,2,0,4,11
7,0,20,1,11,9,41
8,0,17,1,0,3,21
9,0,0,1,0,19,20
10,7,7,0,1,3,18
11,1,5,1,0,6,13
12,1,3,16,0,33,53
