term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
politisch,114,0.0004,0.0011,0.034,0.0004,0.0441,0.0006,0.0159,0.0004,0.0359,0.0004,0.0004,0.0577
fähigkeit,68,0.0012,0.0012,0.0068,0.0004,0.0446,0.0159,0.0002,0.0004,0.0002,0.0453,0.0004,0.0217
vertreten,62,0.0002,0.0012,0.0318,0.0035,0.0003,0.0006,0.0002,0.0439,0.0294,0.0004,0.0004,0.0036
entwickeln,60,0.0018,0.0011,0.0001,0.0004,0.0002,0.0054,0.0035,0.0068,0.0002,0.0034,0.0004,0.0529
mensch,60,0.0214,0.0011,0.0101,0.0221,0.0003,0.0006,0.0351,0.0006,0.0256,0.015,0.0004,0.0003
gesellschaftlich,55,0.0105,0.0011,0.0002,0.0004,0.0079,0.0158,0.0002,0.0004,0.0042,0.0003,0.0004,0.0383
position,55,0.0002,0.0011,0.0003,0.0408,0.0329,0.0006,0.0002,0.0949,0.0028,0.001,0.0004,0.0001
entscheidung,54,0.0002,0.0011,0.0391,0.0004,0.0002,0.0006,0.0401,0.0153,0.0001,0.0003,0.0004,0.0053
ökonomisch,48,0.0002,0.0011,0.0002,0.0004,0.0002,0.0006,0.0002,0.0004,0.0002,0.0003,0.0004,0.0552
welt,47,0.0605,0.0261,0.0002,0.0004,0.0024,0.0124,0.0002,0.0008,0.0002,0.0078,0.0004,0.0
sozial,46,0.0002,0.0011,0.004,0.0004,0.0003,0.0006,0.0069,0.0004,0.0001,0.0278,0.0164,0.0192
wirtschaftlich,39,0.0002,0.0011,0.0257,0.0004,0.0003,0.0163,0.0002,0.0005,0.0001,0.0003,0.0004,0.0108
urteil,38,0.0018,0.0011,0.0024,0.0426,0.0002,0.0006,0.0091,0.0004,0.0039,0.0003,0.0004,0.009
handeln,35,0.0002,0.0011,0.0001,0.0004,0.0003,0.0006,0.0009,0.0004,0.0004,0.0682,0.0004,0.0086
formulieren,34,0.0002,0.0011,0.0368,0.0004,0.0043,0.0006,0.0002,0.0004,0.0001,0.0003,0.0004,0.0001
sinn,34,0.0002,0.0011,0.0243,0.0004,0.0159,0.0006,0.0033,0.0004,0.0079,0.0003,0.0004,0.0001
reflektiert,33,0.0002,0.0011,0.0329,0.0004,0.0034,0.0006,0.0002,0.0004,0.0001,0.0003,0.0004,0.0049
zusammenhang,33,0.0002,0.0184,0.0116,0.0004,0.0003,0.0006,0.0002,0.0004,0.0377,0.0003,0.0004,0.003
naturwissenschaftlich,32,0.0437,0.0011,0.0004,0.0004,0.0007,0.0006,0.0002,0.0004,0.0001,0.0149,0.0004,0.0
rahmen,32,0.0043,0.0011,0.0001,0.0173,0.0002,0.0156,0.0002,0.0423,0.0002,0.0003,0.0004,0.008
selbstständig,32,0.0038,0.0011,0.0278,0.0004,0.0003,0.0006,0.0003,0.0004,0.0001,0.0093,0.0004,0.0009
ökologie,32,0.0002,0.0011,0.0326,0.0004,0.0002,0.0006,0.0002,0.0004,0.0001,0.0003,0.0091,0.0004
