topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,9,0.2079,58,19.9722
2,4,0.1829,50,23.8236
3,10,0.1499,45,30.3556
4,2,0.1277,36,30.7488
5,7,0.1031,27,42.2711
6,6,0.074,17,32.1677
7,1,0.0505,12,15.4982
8,5,0.0378,9,27.1733
9,8,0.0336,7,25.1611
10,3,0.0326,7,16.0327
