term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
europäisch,96,0.0,0.0,0.0001,0.0016,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0108,0.0,0.0135,0.0007
inhalt,95,0.0039,0.0,0.0074,0.0034,0.0,0.0001,0.0001,0.0001,0.0067,0.0033,0.0001,0.0,0.0,0.0034,0.0095
darstellung,92,0.0,0.0,0.0076,0.001,0.0392,0.0001,0.0022,0.0001,0.0,0.0014,0.0,0.0041,0.0,0.0,0.0
veränderung,92,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0206,0.0,0.0004,0.0006,0.0024,0.0017,0.0095
demokratie,88,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0012,0.0,0.0285,0.0
aktuell,86,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0165,0.0,0.0,0.0028
interesse,86,0.0,0.0,0.0001,0.0019,0.0,0.0001,0.0041,0.0001,0.0,0.0113,0.0,0.0056,0.0,0.0013,0.0068
staat,85,0.0,0.0,0.0001,0.0,0.0,0.0105,0.0001,0.007,0.0,0.0,0.0,0.0065,0.0,0.0102,0.0032
geschichte,82,0.0,0.0011,0.0001,0.0,0.0031,0.0001,0.0221,0.0001,0.0,0.0011,0.0,0.0023,0.0,0.0044,0.005
begründen,81,0.0,0.014,0.0001,0.0,0.0424,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0027,0.0,0.0
herausforderung,80,0.0,0.0,0.0001,0.0,0.0,0.0001,0.001,0.0021,0.0,0.0,0.0042,0.0114,0.0,0.0001,0.0031
ereignis,80,0.0,0.0,0.0036,0.0006,0.0004,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0164
migration,79,0.0039,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0122,0.0059,0.0,0.0002,0.002
welt,79,0.0152,0.0,0.0001,0.0042,0.0,0.0076,0.0001,0.0001,0.0,0.0,0.0,0.0025,0.0,0.006,0.0
frage,79,0.0039,0.005,0.0001,0.0079,0.0,0.0001,0.0109,0.0001,0.0,0.0002,0.0024,0.0,0.0,0.0,0.005
französisch,79,0.0,0.0,0.0001,0.031,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
untersuchen,73,0.0005,0.0,0.0011,0.0,0.0,0.0016,0.0073,0.0001,0.0,0.013,0.0035,0.0054,0.0,0.0,0.0
modell,73,0.0,0.0542,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,73,0.0,0.0,0.0001,0.0,0.0,0.0089,0.0001,0.0001,0.0,0.0,0.0087,0.0072,0.0,0.0031,0.0
handeln,72,0.0032,0.0001,0.0001,0.0,0.0,0.0001,0.0026,0.0001,0.0,0.0,0.0069,0.0,0.0,0.0,0.0102
europa,72,0.0,0.0,0.0001,0.0083,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0009,0.0,0.0143,0.0011
entwickeln,71,0.0005,0.0,0.0001,0.0013,0.0179,0.0001,0.0001,0.0001,0.0007,0.0,0.0,0.0027,0.0,0.003,0.0042
globalisierung,70,0.0007,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0219,0.0,0.0,0.0008,0.0012
nutzen,70,0.0,0.0,0.0001,0.0,0.0,0.0001,0.001,0.003,0.0,0.0,0.0035,0.0096,0.0,0.0,0.002
kommunikation,68,0.0,0.0,0.0484,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0014
grundlegend,66,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.061,0.0031,0.0042,0.0,0.0019,0.0,0.0,0.0
maßnahme,64,0.0,0.0,0.0001,0.0027,0.0,0.0001,0.0024,0.0001,0.0007,0.0052,0.0131,0.0,0.0,0.0025,0.0
grund,63,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0177,0.0,0.0054,0.0038,0.0,0.0
armut,63,0.0099,0.016,0.0005,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0043,0.0,0.0,0.0017,0.0
vorurteil,63,0.0,0.0,0.0001,0.0011,0.0,0.0001,0.0143,0.0001,0.0,0.0209,0.0,0.0,0.0,0.0,0.0
nennen,63,0.0098,0.0,0.0001,0.0,0.0177,0.0001,0.0001,0.0001,0.0079,0.0007,0.0,0.0004,0.0,0.0,0.0
politik,63,0.0,0.0,0.0001,0.0011,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0083,0.0,0.0028,0.0037
führen,62,0.0047,0.0018,0.0042,0.0,0.0,0.0001,0.0072,0.0001,0.013,0.0,0.0,0.0018,0.0,0.0,0.0004
kulturell,61,0.0102,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0052,0.0017,0.0008,0.004,0.0,0.0029
evolution,61,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0098,0.0,0.0,0.0,0.0236,0.0,0.0007
iii,60,0.0,0.0438,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
information,60,0.0,0.0044,0.0001,0.0015,0.0075,0.0001,0.0001,0.0001,0.0149,0.0006,0.0008,0.0,0.0,0.0,0.0022
krise,59,0.0,0.0,0.0012,0.0023,0.0,0.0014,0.0001,0.0001,0.0,0.0,0.0,0.0048,0.0,0.0097,0.0
medium,59,0.0028,0.0,0.0045,0.0,0.0,0.0001,0.0066,0.0001,0.0,0.0103,0.0,0.0043,0.0,0.0,0.0
perspektive,59,0.0001,0.0,0.0001,0.0016,0.0,0.0001,0.0099,0.0001,0.0,0.0,0.0075,0.002,0.0,0.0036,0.0
ökologisch,58,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.02,0.0,0.0,0.0,0.0
ergebnis,57,0.0,0.0045,0.0001,0.0063,0.0022,0.0001,0.0075,0.0001,0.0,0.0,0.0,0.0014,0.0099,0.0,0.0001
jahrhundert,56,0.0,0.0,0.0001,0.003,0.0034,0.0001,0.0133,0.0001,0.0,0.0,0.0,0.0024,0.0,0.0053,0.0
erklärung,55,0.0,0.0,0.0081,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0117,0.0,0.0,0.0136,0.0,0.0
ultimat,54,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.032,0.0,0.0
variabilität,54,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0258,0.0,0.0,0.0,0.003,0.0,0.0
material,54,0.0,0.0002,0.0001,0.0,0.0233,0.0001,0.0001,0.0001,0.0107,0.0,0.0013,0.0,0.0,0.0,0.0
zusammenleben,53,0.0015,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0175,0.0,0.0029,0.0,0.0008,0.0
theorie,53,0.0,0.0081,0.0001,0.0,0.0173,0.0001,0.0001,0.0219,0.0012,0.0,0.0,0.0,0.0,0.0,0.0004
nachhaltig,53,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0184,0.0,0.0,0.0,0.0
geeignet,53,0.0,0.0292,0.0001,0.0,0.0,0.0001,0.0001,0.0027,0.0,0.0061,0.0,0.0,0.0,0.0,0.0
prinzip,53,0.0,0.0,0.0001,0.0037,0.0,0.0001,0.0028,0.0001,0.0121,0.0,0.0,0.0021,0.0009,0.0024,0.0
rolle,52,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0044,0.0,0.0,0.0,0.0153,0.0
erscheinungsformen,52,0.0,0.0027,0.0008,0.0028,0.0,0.0138,0.0001,0.0001,0.0,0.0,0.0,0.0042,0.0,0.0025,0.0013
aussage,51,0.0,0.0141,0.0001,0.0,0.0,0.0001,0.006,0.0001,0.0,0.0018,0.0034,0.0,0.0,0.0,0.0027
industrialisierung,51,0.0,0.0,0.0001,0.0129,0.005,0.0001,0.0001,0.0001,0.0,0.0,0.0023,0.0,0.0,0.0,0.0009
benennen,51,0.0171,0.0,0.0001,0.0033,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0014,0.0,0.0,0.0,0.0
erfassen,51,0.0,0.0158,0.0001,0.0036,0.0,0.0001,0.0001,0.0001,0.0,0.003,0.0017,0.0002,0.0,0.0023,0.0
organismus,51,0.0,0.0,0.0163,0.0,0.0,0.0001,0.0001,0.0001,0.0141,0.0,0.0,0.0,0.0021,0.0,0.0
phänomen,51,0.0,0.0,0.0127,0.0017,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0026,0.0,0.0009,0.0056,0.0012
imperialismus,50,0.0024,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0139,0.0004
ungleichheit,50,0.0,0.0,0.0001,0.0,0.0,0.0001,0.003,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0114
fortpflanzung,50,0.0,0.0,0.0036,0.0,0.0,0.0001,0.0001,0.0001,0.0243,0.0,0.0,0.0,0.0,0.0,0.0
proximat,49,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.029,0.0,0.0
begriff,49,0.0044,0.0,0.0001,0.0022,0.0,0.0001,0.0001,0.0001,0.0001,0.0103,0.0049,0.0,0.0,0.0,0.0
kontext,48,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0165,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0,0.0033
beurteilungskompetenz,47,0.002,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0128,0.0,0.0,0.0,0.0,0.0,0.0124,0.0
position,47,0.0,0.0198,0.0001,0.0,0.0001,0.0304,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beziehung,46,0.0,0.0001,0.0001,0.0,0.0121,0.0001,0.0001,0.0001,0.0,0.0042,0.0006,0.0008,0.0062,0.0022,0.0
vielfalt,46,0.0059,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0109,0.0,0.0,0.0026,0.0,0.0,0.0
religiös,45,0.0093,0.0,0.0001,0.0,0.0,0.0001,0.0084,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0028
komplex,45,0.0,0.002,0.0001,0.0,0.0119,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0053,0.0,0.0,0.0
national,44,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0094,0.0,0.0,0.0
wert,44,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0062,0.0,0.0,0.0175,0.0,0.0009
selektion,43,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.023,0.0,0.0,0.0,0.0,0.0,0.0
bedingung,41,0.0,0.0006,0.0001,0.0,0.0085,0.0001,0.0001,0.0001,0.0,0.0,0.0023,0.0004,0.0,0.003,0.0025
kausal,41,0.0,0.0,0.0022,0.0,0.0035,0.0001,0.0022,0.0001,0.0,0.0,0.0012,0.0,0.016,0.0,0.0
beziehen,39,0.0017,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0078,0.0,0.002,0.0064,0.0,0.0
einzeln,39,0.0,0.0,0.0001,0.0015,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0084
republik,38,0.0,0.0016,0.0001,0.003,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0094,0.0
terrorismus,37,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0026,0.0,0.0195,0.0,0.0,0.0,0.0,0.0007
rekombination,36,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.019,0.0,0.0,0.0,0.0,0.0,0.0
kriterium,36,0.0006,0.0,0.0092,0.0,0.0082,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0013,0.0,0.0,0.0014
unternehmen,36,0.0,0.0,0.0001,0.002,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0112,0.0,0.0,0.0,0.0
einfach,36,0.0,0.0,0.0138,0.0,0.0,0.0001,0.0001,0.0001,0.0037,0.0,0.0,0.0,0.0,0.0001,0.0027
endogen,36,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0216,0.0,0.0
bestimmt,35,0.0,0.0013,0.0001,0.0,0.0245,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hypothese,34,0.0,0.0044,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0109,0.0036,0.0
lebenswelt,34,0.0,0.0,0.0001,0.0,0.0,0.0334,0.0001,0.0001,0.0,0.0044,0.0,0.0006,0.0,0.0,0.0
mutation,34,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.018,0.0,0.0,0.0,0.0,0.0,0.0
jugendliche,33,0.0123,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0014,0.0,0.0,0.0,0.0005
kalt,33,0.0,0.0,0.0001,0.0128,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
