Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
gegenwart,frage,arbeit,europa,sozial
historisch,leben,frage,demokratie,ökonomisch
mensch,gestaltung,wandel,europäisch,entwicklung
geschichte,reflektieren,fach,herausforderung,frage
vergangenheit,beruflich,form,leben,ökologisch
politisch,entwickeln,digitalisierung,welt,handeln
fach,mensch,auseinandersetzung,frieden,politisch
aktuell,entscheidung,erfordern,deutschland,nachhaltig
gesellschaftlich,analysieren,gestaltung,sozial,inhalt
wirtschaftlich,erhalten,markt,international,problem
gestaltung,umwelt,gesellschaftlich,ethik,persönlich
gesellschaft,hoffnung,anlage,gesellschaft,verschieden
orientierung,gesellschaftlich,entwicklung,politisch,entwickeln
handeln,verantwortung,datum,iii,gegenwart
kompetenz,nachhaltig,zukünftig,gerechtigkeit,gesellschaftlich
problem,angesichts,bilden,lernen,möglich
bewerten,entwicklung,selbstbestimmt,grenze,blick
fähigkeit,ethisch,chance,bezug,kompetenz
lernen,vorstellung,auftrag,kompetenz,fördern
geschichtsbewusstsein,unterricht,lösungsansatz,politik,individuell
