topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,127,1,0,0,128
2,78,2,0,0,80
3,29,1,0,0,30
4,58,4,0,0,62
5,57,0,0,0,57
6,46,0,0,1,47
7,53,1,2,0,56
8,96,0,0,0,96
9,232,0,0,1,233
10,37,8,7,0,52
11,10,2,5,0,17
12,101,0,0,0,101
13,75,0,0,0,75
14,25,15,0,0,40
15,11,0,0,0,11
