subject_clean,Allgemeine Ethik · Diskurs · Allgemeine,Aussagen · Sachverhalte · Deskriptive,Begriff Guten · Gewissen Vernunft · Voneinander Abgrenzen,Dimension · Moralvorstellungen · Guten Lebens,Einordnen · Wertvorstellungen Historischen · Zusammenhngen Einordnen,Entscheidung · Entscheidungen · Pflicht,Ethischmoralischen · Menschenwrde Menschenrechte · Normen Menschenwrde,Fortschritt · Stehen · Mittelpunkt,Fragen Ethik · Kommunikation · Chancen,Glck Bio · Argumentieren Glck · Bio,Interpretieren Argumentieren · Interpretieren · Hineinversetzen Interpretieren,Kein Thema (Ausreißer),Medial Vermittelten · Vermittelten · Vermittelten Welt,Moralitt · Antike · Etc,Pflichten · Status · Schuld,Phnomenologische · Religisen · Hermeneutische,Recherchieren · Perspektive · Religiser,Regel · Goldene · Goldene Regel,Religionen Weltanschauungen · Weltanschauungen · Religionen,Staat · Historischer · Bundesrepublik,Stunden · Lust · Frage,Themenbereich · Urteilsbildung · Prozess,Verhltnisses · Pflichten · Verhltnisses Glck,Vernunft · Perspektive · Vorstellungen,Wertvorstellungen · Schuljahrgang · Wirklichkeit,Zusammenhngen · Leistungskurs · Historischen,entropy,subject_total,subject_proportion
Bio,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.2,0.08,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.0,0.0,0.0,0.0,0.0,2.7747,25,0.0198
"Ethik, Philo",0.034,0.0043,0.0247,0.04,0.017,0.0323,0.0238,0.0272,0.0136,0.0136,0.0272,0.1481,0.0647,0.0179,0.0145,0.063,0.0298,0.0332,0.0306,0.0102,0.0511,0.0221,0.0417,0.1064,0.0647,0.0443,4.3307,1175,0.9296
Geschichte,0.0,0.1,0.0333,0.0667,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0333,0.0667,0.0,0.0,0.3667,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0333,0.2333,2.6916,30,0.0237
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0055
Sozialkunde,0.0,0.037,0.037,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.6667,0.037,0.0,0.037,0.0,0.0,0.0,1.7988,27,0.0214
