Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
konzept,unterschiedlich,global,setzen,position,politisch,entwickeln,lernen,aussage,historisch
sachverhalt,lernen,bne,inhalt,vertreten,sinn,fachlich,kulturell,überprüfen,welt
kenntnis,entwickeln,lernbereich,handeln,vollziehen,sozial,verstehen,fremdsprachlich,text,nehmen
kontext,fähigkeit,entwicklung,fähigkeit,politisch,kulturell,wahrnehmung,kompetenzbereiche,geschichte,kommunikation
naturwissenschaftlich,position,sozial,fremdsprache,interesse,möglichkeit,miteinander,verstehen,sozialkompetenz,inhalt
problem,empathie,wechselwirkung,sprache,verschieden,formulieren,kultur,zunehmend,fragestellung,kulturell
wissen,methode,regional,phänomen,urteil,vertreten,toleranz,befähig,untersuchen,fähigkeit
auseinandersetzung,umgang,betrachten,sprachlich,sichtweise,gestaltung,demokratisch,vernetzt,fördern,begreifen
wert,gesellschaft,international,begreifen,kontroverse,konflikt,dialog,leiten,miteinander,betrachten
urteil,thema,kulturell,mensch,finden,einflussnahme,reflexion,beziehung,geeignet,setzen
zusammenhang,wertvorstellung,konflikt,situation,begründen,handlungsalternative,auseinandersetzung,aufgabe,entwickeln,kenntnis
interesse,vorstellung,aufgabe,fachspezifisch,unterschiedlich,berücksichtigung,unterstützen,zugehörigkeit,entwicklung,nutzen
begründen,arbeit,inhaltlich,vokabular,wissen,verschieden,projekt,gesellschaftswissenschaftlich,kritisch,vertiefen
wirtschaftlich,politisch,aspekt,genannt,aufgabe,mensch,kulturell,denken,rolle,englisch
stehen,vornehmen,ökonomisch,hinterfragen,argumentieren,auseinandersetzen,multilateral,zugang,gleichermaßen,aufgeführt
verknüpfen,problem,orientierungsrahme,kritisch,grundlegend,berücksichtigen,grenzüberschreitende,tolerieren,methode,authentisch
nutzen,bedürfnis,empfehlung,gezielt,reflektiert,differenz,gegenstand,überzeugung,mensch,sprache
eingeordnen,phänomen,zusätzlich,kommunikation,beitrag,gruppenarbeit,austausch,grundgesetz,urteil,inhaltlich
schließlich,einnehmen,krieg,englisch,stehen,geschlechtsspezifisch,fast,norm,medium,fremdsprache
lösung,sozialkompetenz,schwerpunkt,authentisch,auseinandersetzung,empathie,lernprozesse,sinn,einflussnahme,phänomen
