topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,14,0.1291,44,26.0171
2,20,0.0971,30,19.2569
3,7,0.0802,21,18.7371
4,12,0.0744,22,43.8411
5,1,0.0727,21,17.3209
6,9,0.0722,16,34.9157
7,16,0.0631,16,37.7623
8,8,0.0621,17,37.3674
9,17,0.0526,14,26.5129
10,5,0.0515,14,18.2848
11,13,0.0474,15,24.6879
12,11,0.0395,11,48.7875
13,15,0.0383,9,53.6455
14,4,0.0299,7,27.6104
15,19,0.0245,6,33.9053
16,10,0.0225,6,25.6025
17,2,0.0225,7,29.2547
18,3,0.0076,1,22.681
19,18,0.0065,1,9.3965
20,6,0.0064,1,10.2866
