subject,-1_zusammenhalts bevlkerungsgruppen_individuum emotionaler_zugehrigkeit_zusammenhalts,0_emotionen_emotionale_adressaten_emotionsregulation emotionale,1_knnen_reflektieren_beschreiben_emotionale,entropy,subject_total,subject_proportion
Bio,0.08,0.1,0.82,0.8585,50,0.1873
"Ethik, Philo",0.0088,0.0614,0.9298,0.4047,114,0.427
Geschichte,0.1765,0.2941,0.5294,1.4466,17,0.0637
Psychologie,0.0,0.0185,0.9815,0.133,54,0.2022
Sozialkunde,0.125,0.3125,0.5625,1.3663,32,0.1199
TOTAL,0.0449,0.1049,0.8502,0.7414,267,1.0
