topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_zusammenhalts bevlkerungsgruppen_individuum emotionaler_zugehrigkeit_zusammenhalts,0.3333,0.0833,0.25,0.0,0.3333,1.8554,12,0.0449
0_emotionen_emotionale_adressaten_emotionsregulation emotionale,0.1786,0.25,0.1786,0.0357,0.3571,2.0899,28,0.1049
1_knnen_reflektieren_beschreiben_emotionale,0.1806,0.467,0.0396,0.2335,0.0793,1.9235,227,0.8502
TOTAL,0.1873,0.427,0.0637,0.2022,0.1199,2.063,267,1.0
