term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
sozial,93,0.0565,0.0002,0.0247,0.0265,0.0225,0.0204,0.0223
wahrnehmung,67,0.0003,0.0005,0.0424,0.0264,0.0002,0.0002,0.0003
bedürfnis,56,0.0539,0.0002,0.0002,0.0005,0.0002,0.0886,0.0003
gesellschaftlich,53,0.0004,0.0003,0.006,0.054,0.039,0.0195,0.0003
frage,52,0.0006,0.012,0.0233,0.0004,0.0063,0.0008,0.0021
motivation,52,0.0003,0.0002,0.0375,0.0037,0.0002,0.0001,0.0004
kognitiv,51,0.0286,0.0002,0.0002,0.0002,0.0322,0.0117,0.0081
perspektive,51,0.0005,0.0007,0.0242,0.0032,0.0033,0.0143,0.0054
psychisch,48,0.029,0.0221,0.0093,0.0002,0.0002,0.0001,0.0003
handeln,46,0.0275,0.0002,0.0087,0.0002,0.0061,0.0001,0.0235
gefühl,45,0.0267,0.0062,0.0002,0.0021,0.0002,0.0033,0.0243
entwicklung,44,0.0003,0.0002,0.0145,0.0002,0.0102,0.0211,0.0247
grenze,36,0.0005,0.0003,0.0223,0.0002,0.0003,0.0004,0.0081
natur,36,0.0002,0.0002,0.0053,0.0002,0.0317,0.0001,0.0003
unterschiedlich,36,0.0287,0.0004,0.002,0.0002,0.0054,0.0144,0.0098
verschieden,36,0.0004,0.0002,0.0162,0.0033,0.0002,0.0001,0.0158
kognition,34,0.0003,0.0002,0.0237,0.0034,0.0002,0.0001,0.0003
denken,32,0.0003,0.0151,0.0028,0.0002,0.027,0.0001,0.0003
lernen,31,0.0002,0.0002,0.0083,0.0055,0.0235,0.0001,0.0058
stellen,31,0.0004,0.0003,0.0182,0.0003,0.0002,0.003,0.0003
ausdrücken,30,0.0003,0.025,0.0002,0.0002,0.0002,0.0001,0.0072
erleben,30,0.0003,0.0221,0.0019,0.0002,0.0026,0.0001,0.022
motivieren,30,0.0002,0.0299,0.0002,0.0002,0.0002,0.0001,0.0003
adressat,29,0.0002,0.029,0.0002,0.0002,0.0002,0.0001,0.0003
eingehen,29,0.0002,0.0289,0.0002,0.0002,0.0002,0.0001,0.0003
funktion,29,0.0003,0.0002,0.0002,0.0004,0.0002,0.0599,0.0047
selbstwirksamkeit,29,0.0002,0.025,0.0002,0.0002,0.0002,0.0072,0.0003
ethisch,28,0.0022,0.0003,0.0035,0.0002,0.0028,0.0001,0.0272
bedeutung,27,0.0002,0.0002,0.0002,0.004,0.0002,0.0001,0.0315
kulturell,27,0.0002,0.01,0.0002,0.0002,0.034,0.0001,0.0286
zustand,27,0.0003,0.0269,0.0002,0.0002,0.0002,0.0001,0.0003
bewältigen,26,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0017
gehören,26,0.0002,0.0259,0.0002,0.0002,0.0002,0.0001,0.0003
gesundheit,26,0.0002,0.026,0.0002,0.0002,0.0002,0.0001,0.0003
orientierung,26,0.0002,0.0002,0.0002,0.0282,0.0255,0.0001,0.0004
aversiv,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
belastend,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
emotionsregulation,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
empathisch,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
motivationlernbereitschaft,25,0.0003,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
situationsadäquat,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
umgeh,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
vertrauen,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
äußern,25,0.0002,0.025,0.0002,0.0002,0.0002,0.0001,0.0003
ethik,24,0.0002,0.0002,0.0121,0.0002,0.0046,0.0001,0.0056
mensch,24,0.0003,0.0002,0.0052,0.0002,0.0171,0.0009,0.0003
beziehung,23,0.0302,0.0002,0.0022,0.0002,0.0046,0.0005,0.0003
entwickeln,22,0.0002,0.0002,0.0034,0.0002,0.0136,0.0133,0.0003
fähigkeit,22,0.0294,0.0002,0.0002,0.0002,0.0204,0.0001,0.0003
körperlich,22,0.0002,0.0002,0.0002,0.0002,0.0194,0.0126,0.0003
möglichkeit,22,0.0004,0.0029,0.0084,0.0002,0.0002,0.0001,0.0117
voraussetzung,22,0.0265,0.0002,0.003,0.0002,0.0002,0.0074,0.0033
gruppe,21,0.0265,0.0002,0.0049,0.0002,0.0002,0.0001,0.0045
psychologie,21,0.0003,0.0002,0.0158,0.0002,0.0003,0.0001,0.0019
rolle,21,0.0002,0.0002,0.0003,0.0002,0.0002,0.0381,0.0107
akzeptieren,19,0.0003,0.0003,0.0141,0.0002,0.0002,0.0002,0.0003
gesellschaft,19,0.0341,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
klassenstuf,19,0.0002,0.0002,0.0142,0.0002,0.0002,0.0003,0.0003
kreativ,19,0.0002,0.0102,0.0002,0.0002,0.0169,0.0072,0.0017
individuum,18,0.0002,0.0002,0.0002,0.0315,0.0002,0.0001,0.0003
inhalt,18,0.0003,0.0002,0.0002,0.0002,0.0044,0.0001,0.037
menschlich,18,0.0002,0.0002,0.012,0.0002,0.0002,0.0001,0.0045
nehmen,18,0.0292,0.0002,0.0002,0.0002,0.0028,0.0001,0.0019
persönlichkeit,18,0.0002,0.0002,0.014,0.0002,0.0002,0.0001,0.0003
prozeß,18,0.0003,0.0002,0.0127,0.0002,0.0002,0.0001,0.0031
sexuell,18,0.0002,0.0002,0.0002,0.0011,0.0167,0.0003,0.0015
bereich,17,0.0003,0.0002,0.0051,0.0002,0.0002,0.0001,0.0316
gedächtnis,17,0.0002,0.0002,0.0057,0.0003,0.0002,0.0001,0.0147
gestaltung,17,0.0002,0.0002,0.0002,0.0307,0.0002,0.0001,0.0003
wissen,17,0.0003,0.0002,0.0123,0.0002,0.0002,0.0001,0.002
zentral,17,0.0002,0.0002,0.0002,0.0289,0.0002,0.0001,0.0037
überzeugung,17,0.0265,0.0002,0.0039,0.0002,0.0002,0.0001,0.0003
familie,16,0.0002,0.0002,0.0002,0.0003,0.0002,0.0553,0.0003
fördern,16,0.0002,0.0002,0.0002,0.0002,0.0253,0.0074,0.0003
kommunikation,16,0.0002,0.0002,0.0128,0.0002,0.0002,0.0001,0.0003
kultur,16,0.0002,0.0002,0.0002,0.0261,0.0044,0.0001,0.0017
lernprozesse,16,0.0002,0.0002,0.0035,0.0267,0.0002,0.0001,0.0003
realität,16,0.0308,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
weise,16,0.0002,0.0002,0.0002,0.0288,0.0002,0.0001,0.0022
aufgabe,15,0.0002,0.0002,0.0002,0.0004,0.0002,0.0548,0.0003
gemeinschaft,15,0.0288,0.0002,0.0002,0.0002,0.0002,0.0005,0.0003
theorie,15,0.0003,0.0002,0.0049,0.0002,0.0002,0.0001,0.013
verbindung,15,0.0002,0.0002,0.0002,0.0292,0.0002,0.0001,0.0003
erfassen,14,0.0286,0.0002,0.0002,0.0002,0.0004,0.0001,0.0003
geben,14,0.0002,0.0002,0.0002,0.0284,0.0002,0.0001,0.0003
medium,14,0.0002,0.0002,0.0106,0.0002,0.0006,0.0001,0.0003
problem,14,0.0002,0.0002,0.0002,0.0002,0.0003,0.002,0.0139
wunsch,14,0.0002,0.0002,0.0002,0.0004,0.0014,0.0271,0.0003
identität,13,0.0002,0.0003,0.0002,0.0003,0.0002,0.0379,0.0003
partner,13,0.0276,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
psychologisch,13,0.0003,0.0002,0.0002,0.0002,0.0014,0.0001,0.0177
versetzen,13,0.0276,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
wahrnehmungsfähigkeit,13,0.0276,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
erwerb,12,0.0002,0.0002,0.0002,0.0002,0.0192,0.0077,0.0019
individuell,12,0.0036,0.0002,0.0002,0.0002,0.0002,0.0202,0.0003
literatur,12,0.0002,0.0002,0.0002,0.0269,0.0002,0.0001,0.0003
regional,12,0.0002,0.0002,0.0002,0.0269,0.0002,0.0001,0.0003
systematisch,12,0.0002,0.0002,0.0002,0.0002,0.0169,0.0091,0.0003
ausgewählt,11,0.0002,0.0002,0.0002,0.0002,0.0003,0.0001,0.0157
bevölkerungsgruppe,11,0.0002,0.0002,0.0002,0.0261,0.0002,0.0001,0.0003
bieten,11,0.0003,0.0002,0.0002,0.0002,0.0021,0.015,0.0003
einbettung,11,0.0002,0.0002,0.0002,0.0261,0.0002,0.0001,0.0003
engagement,11,0.0002,0.0002,0.0002,0.0261,0.0002,0.0001,0.0003
