topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,7,15,0,12,0,34
2,20,18,8,4,13,63
3,0,8,0,2,4,14
4,6,38,4,0,9,57
5,0,24,0,6,0,30
6,8,7,4,6,5,30
7,9,4,1,24,1,39
