subject_clean,Hinblick · Veränderung · Soziale,Kein Thema (Ausreißer),Klischees · Formen · Stereotypen,entropy,subject_total,subject_proportion
Bio,0.0,0.0,1.0,0.0,4,0.014
"Ethik, Philo",0.0678,0.1073,0.8249,0.838,177,0.6211
Geschichte,0.0,0.0,1.0,0.0,37,0.1298
Psychologie,1.0,0.0,0.0,0.0,20,0.0702
Sozialkunde,0.5319,0.0,0.4681,0.9971,47,0.1649
