topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Kritisch · Historische · Haltungen,0.0,0.1333,0.8667,0.0,0.0,0.5665,15,0.0526
Vorurteilen · Vorurteile · Klischees,0.0148,0.6481,0.0889,0.0741,0.1741,1.5231,270,0.9474
