rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,aussage,164,129.8363213700773,0.018352772837131832
2,unterschiedlich,281,129.72330066966506,0.018336797005263902
3,sachverhalt,131,123.32319273243529,0.017432121596521362
4,biologisch,168,122.39883790293943,0.017301461130885643
5,sachverhalte,115,117.97844369419622,0.01667662449112596
6,identifizieren,110,109.91817771728589,0.015537280516188065
7,perspektive,185,99.99060729459974,0.01413398717831799
8,information,158,96.96888835514422,0.013706857691836195
9,verschieden,305,94.75926347494723,0.013394520257645181
10,mensch,374,87.51257334973069,0.012370177791024459
11,normativ,119,85.57345131516864,0.0120960767857876
12,quelle,118,79.24148866672074,0.011201033928181269
13,urteil,146,71.31910518809713,0.010081180078522413
14,iii,74,70.6462368664141,0.00998606802261356
15,interesse,97,69.08406102480552,0.00976524954862909
16,hinblick,126,68.74327979444647,0.009717079048710879
17,umgang,177,67.27534540465504,0.009509581900675811
18,medium,123,59.77365986222225,0.00844919502893566
19,formulieren,113,58.03419832220308,0.008203316663267048
20,historisch,162,57.14703769331394,0.008077913714999278
