Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
historisch,genetisch,gewalt,nachhaltig,sachverhalt,politisch,beschreiben
folge,verhalten,konflikt,vergleich,modell,sozial,analysieren
ereignis,beschreiben,beschreiben,phänomen,begründen,international,gesellschaftlich
wirkung,erklären,folge,analysier,iii,deutschland,erklären
bezug,evolution,form,folge,zusammenhang,konflikt,erläutern
beurteilen,erläutern,vorurteil,entwicklung,geeignet,revolution,dar
prozeß,mensch,mensch,bedeutung,beispiel,folge,folge
zusammenhang,ultimat,zusammenleben,global,darstellung,erläutern,auswirkung
entwicklung,variabilität,armut,kommunikation,bestimmt,krieg,ökonomisch
kompetenz,fortpflanzung,welt,hypothese,position,gesellschaft,politisch
geschichte,proximat,religion,ökosystem,material,bedeutung,stellen
auswirkung,organismus,endogen,menschlich,erklären,deutsch,ausgewählt
verschieden,bedeutung,psychisch,treibhauseffekt,theorie,entwicklung,zusammenhang
struktur,selektion,diskriminierung,nutzung,sachverhalte,wandel,prozeß
jahrhundert,entwicklung,kulturell,zuwanderung,nachvollziehbar,beurteilen,unterscheiden
beispiel,veränderung,beziehen,demokratie,möglich,europäisch,unterschiedlich
lernende,rekombination,leben,klimawandel,undod,gesellschaftlich,verschieden
veränderung,grundlage,kreuzzug,wirkung,erörtern,wirtschaftlich,historisch
einzeln,lebewesen,jude,umwelt,erläutern,weltkrieg,globalisierung
stehen,mutation,bedeutung,biodiversität,stellen,französisch,wirtschaftlich
