term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
mensch,374,0.0264,0.0007,0.0429,0.0001,0.0027,0.0104,0.0,0.0035,0.0052,0.0135,0.0161,0.0033
leben,366,0.0141,0.0,0.021,0.0001,0.0,0.0001,0.0218,0.0097,0.0461,0.0,0.0085,0.0058
gesellschaft,356,0.0147,0.0155,0.0064,0.0001,0.0181,0.0001,0.0085,0.0,0.0052,0.0,0.0124,0.0016
religion,311,0.0282,0.0068,0.0,0.0068,0.0,0.0001,0.004,0.055,0.0,0.0001,0.0012,0.0012
kulturell,290,0.0009,0.0,0.0149,0.0277,0.0,0.0758,0.0265,0.0,0.0032,0.0,0.0033,0.0
politisch,285,0.0,0.0108,0.0,0.0001,0.004,0.0001,0.0,0.0,0.0039,0.0,0.0371,0.0001
geschichte,270,0.0,0.0112,0.0,0.0001,0.0,0.0001,0.0,0.0048,0.0,0.006,0.0201,0.0177
welt,269,0.0205,0.0027,0.0,0.0001,0.0,0.0111,0.0169,0.0039,0.0209,0.0123,0.0037,0.0
historisch,258,0.0,0.0209,0.0124,0.0001,0.0038,0.0001,0.0,0.0219,0.0,0.0,0.0,0.0
entwicklung,243,0.0,0.0088,0.0206,0.0001,0.0131,0.0001,0.0,0.0128,0.0,0.0,0.0093,0.0
sozial,241,0.0058,0.0042,0.008,0.0001,0.0087,0.0001,0.0478,0.0,0.0143,0.0,0.0,0.0
verschieden,216,0.0,0.0009,0.0,0.0001,0.0066,0.003,0.0179,0.0316,0.0,0.0,0.0102,0.0081
gesellschaftlich,191,0.0065,0.0026,0.0024,0.0083,0.0246,0.0048,0.0,0.0,0.0036,0.0,0.0033,0.0023
unterschiedlich,190,0.0077,0.0047,0.0,0.0001,0.0015,0.0001,0.0076,0.0095,0.0007,0.0,0.0171,0.0
europäisch,172,0.0,0.0194,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0027,0.0
wissenschaft,157,0.0003,0.0,0.0063,0.0001,0.0,0.0001,0.0,0.0028,0.0105,0.0339,0.0044,0.0049
bedeutung,151,0.0018,0.0063,0.0135,0.0001,0.0032,0.0001,0.0052,0.0093,0.0,0.0,0.0008,0.004
natur,148,0.014,0.0,0.0088,0.0001,0.0006,0.0001,0.0,0.0,0.0044,0.0,0.0109,0.0
wirtschaft,144,0.0,0.012,0.0046,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.008,0.0
vielfalt,143,0.0028,0.0,0.0,0.0483,0.0,0.0319,0.0045,0.0,0.0,0.0027,0.002,0.0
perspektive,143,0.0086,0.0042,0.0,0.0001,0.0,0.0001,0.0,0.0069,0.0032,0.0002,0.0114,0.0
demokratie,142,0.0,0.0087,0.0046,0.0001,0.0125,0.0001,0.0,0.0,0.0078,0.0,0.0,0.0
handeln,137,0.0201,0.0,0.0031,0.0001,0.0,0.0001,0.0043,0.0,0.0088,0.0,0.0055,0.0
kunst,135,0.0,0.0029,0.0,0.0001,0.0067,0.0001,0.0,0.0,0.0,0.0,0.005,0.0233
frage,135,0.0194,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0135,0.0022,0.0,0.005,0.0
lernen,129,0.0,0.0025,0.0134,0.0001,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0035,0.0185
herrschaft,126,0.0,0.015,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
auseinandersetzung,124,0.0077,0.0007,0.0,0.0001,0.0078,0.0093,0.0001,0.0113,0.0,0.0053,0.0017,0.0023
deutsch,123,0.0,0.0057,0.0,0.0001,0.0,0.0001,0.003,0.0,0.0,0.0022,0.0007,0.022
zusammenleben,121,0.0178,0.0,0.0,0.0001,0.0,0.0001,0.0,0.019,0.0063,0.0,0.0002,0.0
europa,118,0.0,0.0142,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0044,0.0008,0.0
interkulturell,114,0.0,0.0,0.0,0.0001,0.0072,0.0394,0.0,0.0,0.0,0.0012,0.0038,0.0
wert,111,0.0005,0.0,0.0,0.0001,0.0081,0.0001,0.0,0.0039,0.0186,0.0,0.0039,0.0
identität,108,0.0,0.0008,0.0001,0.012,0.012,0.0019,0.0037,0.0,0.0,0.0,0.0052,0.0
mittelalter,105,0.0,0.0122,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
religiös,103,0.0066,0.002,0.0,0.0001,0.0,0.0001,0.0,0.0162,0.0057,0.0013,0.0,0.0015
begriff,102,0.0,0.0,0.0148,0.0307,0.0026,0.0001,0.0028,0.0,0.0,0.0,0.0008,0.0
umwelt,101,0.0041,0.0,0.0068,0.0001,0.0001,0.0001,0.0,0.0,0.0052,0.0013,0.0108,0.0
darstellung,100,0.0,0.0048,0.0117,0.0143,0.0,0.0001,0.0,0.0008,0.0,0.0,0.0011,0.0016
ethik,100,0.0033,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0228,0.0,0.0023,0.0
griechisch,98,0.0,0.0057,0.0,0.0001,0.0027,0.0001,0.0,0.0,0.0,0.0,0.0007,0.0135
politik,98,0.0,0.0051,0.0056,0.0001,0.0,0.0001,0.0029,0.0,0.0,0.0,0.0092,0.0
entwickeln,98,0.0029,0.0009,0.0048,0.0001,0.0076,0.0001,0.0,0.0098,0.0019,0.0,0.0007,0.0034
technik,98,0.0021,0.0,0.0027,0.0001,0.0,0.002,0.0,0.001,0.0091,0.0072,0.0061,0.0
medium,97,0.0005,0.0,0.0,0.0001,0.0,0.0001,0.0041,0.0025,0.004,0.0026,0.0125,0.0001
zusammenhang,97,0.0034,0.0,0.0213,0.0001,0.0002,0.0001,0.0,0.0,0.0068,0.0,0.0037,0.0
revolution,97,0.0,0.0081,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0091,0.0012,0.0
möglichkeit,96,0.0,0.0,0.0,0.0001,0.0037,0.0001,0.0056,0.0072,0.0019,0.0,0.0026,0.0114
demokratisch,96,0.0,0.0006,0.0004,0.0001,0.0,0.0126,0.0157,0.0,0.0,0.0,0.01,0.0023
dimension,94,0.0068,0.0084,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
ethisch,90,0.0004,0.0,0.0,0.0015,0.0,0.0001,0.0059,0.0149,0.0126,0.0,0.0,0.0
sprache,89,0.0,0.001,0.0007,0.0001,0.0109,0.0038,0.0,0.0,0.0,0.0,0.0065,0.0
form,89,0.0,0.0026,0.0027,0.0128,0.0012,0.0001,0.0,0.0,0.0068,0.0085,0.0,0.0
menschlich,88,0.0079,0.0,0.013,0.0001,0.0001,0.0001,0.0,0.0,0.0014,0.0,0.0047,0.0
mitin,86,0.0,0.0,0.0001,0.0393,0.0,0.0001,0.0,0.0,0.0094,0.0,0.0,0.0
orientierung,86,0.0,0.0024,0.0,0.0001,0.0161,0.0001,0.0,0.0,0.0016,0.0,0.0,0.0
republik,86,0.0,0.0097,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
alltag,85,0.0035,0.0033,0.0049,0.0001,0.0,0.0021,0.0101,0.0,0.0032,0.0,0.0,0.0002
islam,85,0.0,0.0023,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0051,0.0221,0.0,0.0
antike,84,0.0,0.0077,0.0,0.0001,0.0036,0.0001,0.0,0.0,0.0,0.0,0.0007,0.0
bereich,84,0.0,0.0009,0.0031,0.0001,0.0,0.0001,0.0,0.0034,0.0,0.0,0.0125,0.0
konflikt,84,0.0,0.0,0.0,0.0001,0.0,0.0005,0.0038,0.0,0.0051,0.0,0.0112,0.0025
kontext,84,0.0,0.0,0.001,0.0432,0.0,0.0001,0.0,0.0,0.0,0.0,0.0019,0.0061
antik,83,0.0,0.01,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
beitrag,83,0.0112,0.0,0.0,0.0001,0.0047,0.0001,0.0064,0.0,0.0004,0.0017,0.0024,0.0
global,80,0.0045,0.002,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0176,0.0,0.0,0.0009
zentral,79,0.0,0.0,0.0051,0.0001,0.0093,0.0001,0.0,0.0046,0.0,0.0,0.0055,0.0
land,78,0.0,0.0013,0.0079,0.0001,0.0001,0.0001,0.0,0.0,0.0041,0.0,0.0079,0.0
modern,77,0.0021,0.0,0.0,0.0001,0.0038,0.0001,0.0,0.0109,0.0,0.0081,0.0023,0.0
römisch,76,0.0,0.0081,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0028
französisch,75,0.0,0.0031,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0069,0.0,0.0127
fremd,75,0.0,0.0,0.0,0.0001,0.0,0.0065,0.015,0.0065,0.0,0.0,0.0,0.0049
nehmen,74,0.006,0.002,0.0,0.0001,0.0,0.0199,0.0,0.0,0.0,0.0,0.0013,0.0
verhältnis,73,0.0018,0.0,0.0091,0.0001,0.0,0.0001,0.0092,0.0,0.0,0.0,0.0025,0.003
unterschied,70,0.0,0.0008,0.0,0.0053,0.0,0.0001,0.0283,0.0,0.0,0.0,0.0,0.0
chance,69,0.0,0.0017,0.0,0.0001,0.0,0.0001,0.0011,0.0,0.0141,0.0,0.0023,0.0
weimarer,68,0.0,0.0077,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
verantwortung,66,0.0022,0.0,0.0,0.0001,0.0,0.0001,0.0088,0.0,0.0139,0.0,0.0,0.0
deutschland,65,0.0,0.0083,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
globalisierung,64,0.0,0.0,0.0,0.0001,0.0036,0.0001,0.0,0.0,0.0131,0.0,0.003,0.0
jahrhundert,63,0.0,0.0044,0.0004,0.0001,0.0,0.012,0.0,0.0,0.0,0.0,0.0008,0.0005
inhaltsbezogen,62,0.0,0.0,0.0016,0.0114,0.0,0.0031,0.0,0.0,0.0112,0.0,0.0,0.0
gestaltung,61,0.0,0.0006,0.0,0.0001,0.0107,0.0001,0.0068,0.0008,0.0,0.0,0.0,0.0
arbeit,60,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0034,0.0,0.0,0.0,0.0094,0.0016
thema,60,0.0071,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0103,0.0,0.0,0.0023
fähigkeit,59,0.0,0.0,0.0077,0.0001,0.0107,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
musik,58,0.0,0.0,0.0,0.0001,0.004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0164
wahrnehmung,57,0.0024,0.0,0.0016,0.0001,0.0085,0.0001,0.0045,0.0,0.0,0.0,0.0,0.0
reich,57,0.0,0.0069,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erkenntnis,57,0.0,0.0,0.0,0.0001,0.0131,0.0001,0.0,0.0,0.0,0.0,0.0,0.0024
religionsunterricht,56,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0216
kommunikation,56,0.0,0.0,0.0,0.0001,0.0,0.0165,0.0,0.0,0.0,0.0,0.0061,0.0
methodischdidaktisch,55,0.0,0.0,0.0016,0.0114,0.0,0.0001,0.0,0.0,0.0106,0.0,0.0,0.0
prägen,54,0.0,0.0,0.0,0.0001,0.0044,0.0001,0.0115,0.0041,0.0,0.0,0.0,0.0
sport,54,0.0,0.0,0.0148,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0103
gemeinschaft,53,0.0015,0.0,0.0,0.0001,0.0,0.0006,0.0,0.0,0.0108,0.0,0.0017,0.0011
weltanschauung,52,0.0046,0.0,0.0,0.0001,0.0,0.0001,0.0038,0.0107,0.0,0.0,0.0006,0.0
inklusion,52,0.0,0.0,0.0051,0.0323,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
spiel,52,0.0,0.0,0.0,0.0001,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0
familie,52,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0019,0.0225,0.0,0.0
entstehung,50,0.0007,0.0029,0.0,0.0001,0.0021,0.0001,0.0,0.0,0.0005,0.0083,0.0,0.0
tragen,50,0.0,0.0,0.0,0.0001,0.004,0.0001,0.0,0.0107,0.0,0.0,0.0,0.0047
friedlich,49,0.0145,0.0,0.0,0.0018,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
mecklenburgvorpommern,49,0.0,0.0,0.0032,0.0001,0.0101,0.0001,0.0,0.0,0.0028,0.0,0.0,0.0
wertvorstellung,49,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0047,0.0161,0.0,0.0,0.0,0.0
hintergrund,48,0.0,0.0019,0.0,0.0001,0.0,0.0001,0.0127,0.0016,0.0,0.0,0.0,0.0
fördern,47,0.0,0.0,0.0,0.0039,0.011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
beziehung,47,0.0,0.0,0.0,0.0001,0.0087,0.0001,0.0078,0.0,0.0,0.0,0.0,0.0
englisch,47,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.017
vergangenheit,46,0.0001,0.0027,0.0,0.0001,0.0002,0.0001,0.0,0.001,0.0,0.0119,0.0,0.0
gemeinsamkeit,44,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0223,0.0,0.0,0.0,0.0,0.0
verstehen,44,0.0011,0.0,0.0,0.0001,0.0,0.0159,0.0,0.0,0.0007,0.0,0.0015,0.0019
blick,44,0.009,0.0013,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0011,0.0
position,43,0.0,0.0,0.011,0.0001,0.0,0.0081,0.0,0.0011,0.0,0.0,0.0,0.0
bild,43,0.001,0.0,0.0,0.0001,0.0,0.0001,0.0047,0.0,0.0,0.0,0.0,0.0102
schaffen,43,0.0,0.0,0.0,0.0001,0.011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
wirklichkeit,42,0.0091,0.0003,0.0,0.0001,0.0,0.0001,0.0,0.0025,0.0,0.0,0.0,0.0
lehrplan,42,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0032,0.0092,0.0026,0.0
gefahr,40,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0131,0.0,0.0,0.0
beschäftigung,40,0.0,0.0,0.0,0.0001,0.0106,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
epoch,40,0.0007,0.0,0.0052,0.0184,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erfahrung,38,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0133,0.0,0.0,0.0023,0.0007,0.0
erwerben,38,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0108,0.0,0.0014,0.0
erziehung,38,0.0,0.0023,0.0,0.0001,0.0,0.0001,0.0094,0.0,0.0,0.0,0.0,0.0
jugend,37,0.0,0.0,0.0183,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erbe,37,0.0,0.0,0.0,0.0001,0.0051,0.0131,0.0,0.0,0.0,0.0,0.0,0.0
geschlecht,36,0.0036,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.012,0.0,0.0
weltbilder,36,0.0096,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
