subject,-1_konsum_erfolg_glck konsum_fragen,0_moral_glck moral_analysieren_reflektieren,1_glcks_lust_zufriedenheit_persnliche,2_glcksvorstellungen_unglck_glck glcklich_eigene,3_kriterien_welt_wohlstand_armut,4_dingen_konsum_vergleich_chancen,5_selbstverwirklichung_zunchst_anbietet_nahezu,6_glck glck_leben glck_glcklichen_heute,7_wnsche_wege glck_wege_bedrfnisse,8_gute leben_gute_leben antike_antike,9_glck glcklich_gefhl_differenzierung_absicht,entropy,subject_total,subject_proportion
Bio,0.3478,0.087,0.2174,0.0,0.1739,0.1304,0.0435,0.0,0.0,0.0,0.0,2.3338,23,0.0339
"Ethik, Philo",0.1693,0.2843,0.1613,0.1246,0.0735,0.0304,0.0351,0.0351,0.0335,0.0272,0.0256,2.9588,626,0.9219
Geschichte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0015
"Psychologie, Gesundheit",0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0029
Sozialkunde,0.2963,0.0741,0.2222,0.0741,0.1852,0.1111,0.037,0.0,0.0,0.0,0.0,2.5373,27,0.0398
TOTAL,0.1797,0.271,0.1664,0.1178,0.081,0.0368,0.0353,0.0324,0.0309,0.025,0.0236,2.9651,679,1.0
