topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_konsum_erfolg_glck konsum_fragen,0.0656,0.8689,0.0,0.0,0.0656,0.6917,122,0.1797
0_moral_glck moral_analysieren_reflektieren,0.0109,0.9674,0.0054,0.0054,0.0109,0.2699,184,0.271
1_glcks_lust_zufriedenheit_persnliche,0.0442,0.8938,0.0,0.0088,0.0531,0.629,113,0.1664
2_glcksvorstellungen_unglck_glck glcklich_eigene,0.0,0.975,0.0,0.0,0.025,0.1687,80,0.1178
3_kriterien_welt_wohlstand_armut,0.0727,0.8364,0.0,0.0,0.0909,0.8051,55,0.081
4_dingen_konsum_vergleich_chancen,0.12,0.76,0.0,0.0,0.12,1.035,25,0.0368
5_selbstverwirklichung_zunchst_anbietet_nahezu,0.0417,0.9167,0.0,0.0,0.0417,0.4972,24,0.0353
6_glck glck_leben glck_glcklichen_heute,0.0,1.0,0.0,0.0,0.0,0.0,22,0.0324
7_wnsche_wege glck_wege_bedrfnisse,0.0,1.0,0.0,0.0,0.0,0.0,21,0.0309
8_gute leben_gute_leben antike_antike,0.0,1.0,0.0,0.0,0.0,0.0,17,0.025
9_glck glcklich_gefhl_differenzierung_absicht,0.0,1.0,0.0,0.0,0.0,0.0,16,0.0236
TOTAL,0.0339,0.9219,0.0015,0.0029,0.0398,0.4971,679,1.0
