,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,konsum,0.0521,moral,0.0737,glcks,0.0479,glcksvorstellungen,0.0805,kriterien,0.0834,dingen,0.1294,selbstverwirklichung,0.1665,glck glck,0.1659,wnsche,0.125,gute leben,0.1683,glck glcklich,0.2536
1,erfolg,0.0475,glck moral,0.0612,lust,0.0478,unglck,0.0754,welt,0.0818,konsum,0.1059,zunchst,0.0967,leben glck,0.1173,wege glck,0.0857,gute,0.1616,gefhl,0.1988
2,glck konsum,0.0458,analysieren,0.0502,zufriedenheit,0.0449,glck glcklich,0.0614,wohlstand,0.0786,vergleich,0.0912,anbietet,0.0877,glcklichen,0.1083,wege,0.0857,leben antike,0.1463,differenzierung,0.1683
3,fragen,0.0437,reflektieren,0.0462,persnliche,0.044,eigene,0.0598,armut,0.0682,chancen,0.0881,nahezu,0.0863,heute,0.1042,bedrfnisse,0.0802,antike,0.1433,absicht,0.1627
4,argumente,0.0428,wahrnehmen,0.0461,glcksvorstellungen,0.0435,untersuchen,0.0534,glckliches,0.0663,bewusstsein,0.0866,scheinbar,0.0857,mehr,0.1013,wnschen,0.0754,ziel,0.1417,zufall,0.1586
5,umgang,0.0384,knnen,0.0442,zufall,0.0418,glcklich glck,0.0492,mglichkeiten,0.0656,verantwortlich,0.0843,werbungen,0.0856,beim,0.1002,handlungsmuster,0.0731,etc,0.1316,glcksbegriffe,0.1438
6,inhalte,0.0354,verantwortung,0.0437,eher,0.0416,glck unglck,0.0489,selbstbestimmten,0.0543,zeigen bewusstsein,0.0832,gegenstand,0.0847,scheint,0.0978,denkanste,0.0724,glck gute,0.1286,glcklich glck,0.1426
7,glckliches leben,0.0335,werte,0.0426,thema,0.0404,frage,0.0454,inhalte,0.0475,umzugehen,0.0802,berhaupt,0.0811,denkanste,0.0964,bedrfnissen,0.0707,geld,0.1243,sei,0.1371
8,wege,0.0326,interpretieren,0.0414,positive,0.0396,sachkompetenz,0.0424,glckliches leben,0.0465,beim,0.0794,glcks glck,0.079,genuss,0.0953,handlungen,0.0682,konkretisierungen hinweise,0.1063,definieren,0.1295
9,wege glck,0.0326,gerechtigkeit,0.0389,philosophie,0.0395,gut,0.0394,fhigkeit,0.046,gemeinschaft,0.0781,reflexion,0.0783,immer,0.0907,freizeit,0.0677,kompetenzen konkretisierungen,0.1052,beschreiben situationen,0.1122
10,glckliches,0.0326,welt,0.0382,mrchen,0.037,definieren,0.0388,mgliche,0.045,sinnvolles,0.0771,glck vermittelt,0.0743,gutes leben,0.0832,kriterien,0.0673,konkretisierungen,0.1041,situationen denen,0.1122
11,denken,0.0319,natur,0.0372,religion,0.0331,immer,0.0362,reichtum,0.0445,zeigen,0.0768,vermittelt,0.0743,mglich,0.0822,kompetenzerwartungen knnen,0.0647,erklren,0.089,denen glck,0.1085
12,endlichkeit,0.0305,mensch,0.0372,verschiedener,0.0324,formulieren,0.0358,entwicklung,0.0424,dinge,0.0719,denkanste,0.0735,moral,0.0789,relevanz,0.0612,individuum,0.0783,denen,0.0973
13,regeln,0.0297,gesellschaft,0.0367,hedonismus,0.0323,erkennen,0.0353,lebensgestaltung,0.0421,persnlichen,0.0697,eigene vorstellungen,0.0731,zusammen,0.0785,situationen,0.0605,essays,0.0772,diskutieren,0.0923
14,individuelle,0.0288,hineinversetzen,0.0362,menschlichen,0.0322,selbstverwirklichung glck,0.0342,ermglicht,0.042,mglichkeit,0.0683,lebensziele,0.0731,glcklichen leben,0.0777,vergleichen,0.0567,hinweise glck,0.0749,enthalten,0.0874
15,zusammenhang,0.0286,handeln,0.0322,grundlegende,0.0294,glck beschreiben,0.0326,kompetenzerwerb,0.0409,sozialen,0.0676,glcks,0.0731,gutes,0.0768,relevanz handlungen,0.0566,begriffe glck,0.0745,glck beschreiben,0.0845
16,glcksvorstellungen,0.0286,beurteilen,0.0314,begriffe,0.0287,vorstellungen glck,0.0316,freizeit,0.0403,entwerfen,0.0657,ziele,0.0724,ber,0.0714,konsum,0.0558,hauptphase inhaltsbezogene,0.0696,sollen vorstellungen,0.0842
17,persnliche,0.0283,sinn,0.0287,auseinandersetzung,0.0287,analysieren,0.0308,ende,0.0401,lebensfhrung,0.0617,form,0.0684,moralische,0.071,ethische relevanz,0.0557,leben glck,0.0672,mensch,0.0837
18,mgliche,0.028,liebe,0.0269,ziel,0.0282,texten,0.0307,zukunft,0.0389,gegenber,0.0607,scheint,0.0683,menschlichen lebens,0.0705,beschreiben kategorisieren,0.0548,begriff,0.0669,schpfung,0.0832
19,gelingendes,0.0276,technik,0.0265,gesellschaft,0.028,diskutieren,0.0299,selbstbestimmtes leben,0.0381,regeln,0.0598,individuellen,0.0664,glckliches leben,0.0669,kategorisieren,0.0548,utopien,0.0647,lebens ethik,0.0805
