term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
individuell,102,0.0001,0.0016,0.0,0.0001,0.0001,0.0151,0.0001,0.0146,0.0,0.0166,0.0007,0.0,0.0001,0.0,0.0032,0.0,0.0001,0.0,0.0,0.0
unterschiedlich,100,0.0379,0.008,0.0,0.0001,0.0001,0.0007,0.0001,0.0,0.0,0.0071,0.0023,0.0,0.0001,0.0065,0.002,0.0014,0.0001,0.0,0.0142,0.0036
willensfreiheit,100,0.0001,0.0001,0.0268,0.0001,0.0001,0.0,0.0001,0.0,0.0013,0.0,0.0,0.0001,0.0001,0.0,0.0148,0.0,0.0001,0.0134,0.0,0.0013
form,99,0.0001,0.0001,0.0028,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0061,0.0024,0.044,0.0,0.0001,0.0,0.0047,0.0069
menschenrecht,97,0.0001,0.0001,0.0,0.0001,0.0001,0.0124,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0056,0.0229,0.0038
menschlich,97,0.0001,0.0001,0.0048,0.0001,0.0001,0.0,0.0001,0.0,0.0026,0.0,0.0,0.006,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0165
natur,95,0.0001,0.0001,0.0,0.0001,0.0001,0.0027,0.0001,0.0,0.0,0.0,0.0006,0.0201,0.0001,0.0,0.0,0.0,0.0001,0.0033,0.0,0.004
europäisch,93,0.0001,0.0001,0.0,0.0129,0.0001,0.0,0.0884,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0106,0.0001,0.0,0.0,0.0
entwicklung,91,0.0001,0.0001,0.0,0.0001,0.0001,0.0114,0.0001,0.0,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0069,0.0001,0.0,0.0122,0.0
zusammenleben,90,0.0001,0.0001,0.0,0.0001,0.0001,0.0022,0.0001,0.0303,0.001,0.0,0.0105,0.0014,0.0001,0.0041,0.0,0.0,0.0001,0.0,0.0095,0.0
