,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,politische,0.0355,ethik,0.0419,politik,0.0603,revolution,0.1055,unterricht,0.0793,digitalisierung,0.1061,technik,0.4682,grund,0.1268,gott,0.2847,liebe,0.1966,kmpfen,0.2046
1,achtung,0.0256,gerechtigkeit,0.0323,gleichheit,0.0483,franzsischen,0.0662,ziel,0.064,identifizieren,0.0815,natur,0.1709,menschenrechten,0.1231,freiheit anthropologie,0.2014,akzeptanz lebensformen,0.133,lngsschnitt,0.1693
2,sicherheit,0.0228,handeln,0.031,freiheit gleichheit,0.0483,franzsischen revolution,0.0645,bildung,0.06,einbeziehen,0.0711,umgangs,0.1032,zielkonflikte,0.0809,kommunikation,0.1933,selbstfindung,0.1319,daten,0.1473
3,anspruch,0.022,mensch,0.0301,solidaritt,0.0482,europa,0.0634,lebens,0.0514,digitale,0.067,nachhaltigen,0.0999,mgliche,0.0806,rev,0.1898,lebensformen,0.1308,revolution,0.1241
4,problem,0.0213,handelns,0.0279,demokratie,0.0434,franzsische,0.0491,beitrag,0.0496,digitalen,0.0624,mensch,0.0982,werturteil,0.0689,anthropologie,0.1836,akzeptanz,0.1268,daten begriffe,0.1216
5,leben,0.0209,willensfreiheit,0.0269,menschenwrde,0.0428,franzsische revolution,0.0481,verstehen,0.0479,konflikte,0.0599,verantwortungsvollen,0.088,grundrechte,0.0639,eth freiheit,0.1796,selbstfindung akzeptanz,0.123,reichsgrndung,0.1127
6,natur,0.0209,kompetenzen,0.0263,grundlagen,0.0428,herrschaft,0.0422,eigene,0.0474,konomischer,0.0542,zeit,0.0825,prinzipien,0.0606,eth,0.1611,eth,0.1183,grundlegenden,0.1123
7,zeiten,0.0208,analysieren,0.026,politischen,0.042,europischen,0.0364,gesichtspunkten,0.0474,welt,0.0532,mglichkeiten,0.0807,demokratie,0.0603,entstehung,0.1186,btv,0.1174,historische,0.1082
8,beschreiben,0.0207,leben,0.0244,teilhabe,0.0362,deutschland,0.0345,politischen,0.0451,dabei,0.0508,gehlen,0.0788,freiheit soziale,0.0551,merkmale,0.1143,spannungsfeld,0.0911,zugleich,0.0957
9,gesellschaftlichen,0.0207,eigene,0.0227,gerechtigkeit,0.0347,einheit,0.0337,eigenes,0.0443,nutzung,0.0461,fllen,0.0774,auseinandersetzung,0.054,definieren,0.1056,bedrfnisse wnsche,0.0879,kaiserreich,0.0939
10,lernbereich,0.0206,gesellschaft,0.022,sozialen,0.0341,brgertum,0.0337,erreicht,0.044,leitperspektive,0.0455,verfahren,0.0761,partizipation,0.0527,relevanz,0.1047,wnsche,0.0822,kenntnisse,0.0922
11,erklren,0.0206,eigenen,0.0218,politische,0.0288,einheit freiheit,0.0306,lernen,0.0414,einzelnen,0.0455,beurteilung,0.0739,menschen brgerrechte,0.052,begriff,0.1039,gender,0.0808,nationalismus,0.088
12,persnliche,0.0204,glck,0.0212,versus,0.028,gleichheit,0.0284,frieden,0.0412,knnen aspekte,0.0453,funktionen,0.0702,handeln,0.0501,kologie,0.1022,identitt,0.0802,geschichte,0.0866
13,recht,0.0199,welt,0.0206,sicherheit,0.0277,freiheit gleichheit,0.0275,prozess,0.0406,beschreiben,0.0447,verhltnis,0.0676,brgerrechte,0.0483,abgrenzen,0.1007,verschiedenen,0.0769,begriffe,0.0862
14,einheit,0.0196,religionen,0.0198,bundesrepublik,0.027,strukturierende,0.0264,lebens freiheit,0.0369,freiheit einzelnen,0.0445,aspekten,0.0614,sicherheit,0.0471,rrk,0.1007,bedrfnisse,0.0758,wenden,0.0857
15,wirtschaft,0.0195,allgemeine,0.0196,menschenrechte,0.0263,strukturierende aspekte,0.0264,pluralistischen,0.0369,generationen,0.0439,untersuchen,0.0608,grundrechten,0.0448,vorstellungen,0.0955,personale,0.0757,auenpolitik,0.0782
16,gesellschaft,0.0192,normen,0.0195,ausgleich,0.0261,verfassung,0.0264,fach,0.0366,rahmen,0.0429,mensch natur,0.0599,fallbeispielen,0.0448,erlutern,0.0931,eth freiheit,0.0754,insbesondere,0.078
17,staat,0.019,werte,0.0189,demokratischen,0.0258,aufklrung,0.0262,gesellschaftlichen,0.0362,medien,0.0426,fhigkeit,0.0586,herausforderungen rechtsstaat,0.0448,gegenber,0.0889,spannungsfeld freiheit,0.0751,modernen,0.0751
18,heute,0.0184,beschreiben,0.0188,soziale,0.0253,dimensionen,0.0258,politischen bildung,0.0362,beitrag,0.0422,schutz,0.0583,aktuelle herausforderungen,0.0448,abhngigkeit,0.0876,btv selbstfindung,0.0704,inhalte,0.0705
19,herrschaft,0.0181,menschenwrde,0.0186,deutschland,0.0235,freiheit herrschaft,0.0256,vorherbestimmung,0.0355,erreicht,0.0421,entwickeln,0.056,individuums,0.0448,folgen,0.0841,vielfalt,0.0654,lernbereich,0.0657
