subject,-1_politische_achtung_sicherheit_anspruch,0_ethik_gerechtigkeit_handeln_mensch,1_politik_gleichheit_freiheit gleichheit_solidaritt,2_revolution_franzsischen_franzsischen revolution_europa,3_unterricht_ziel_bildung_lebens,4_digitalisierung_identifizieren_einbeziehen_digitale,5_technik_natur_umgangs_nachhaltigen,6_grund_menschenrechten_zielkonflikte_mgliche,7_gott_freiheit anthropologie_kommunikation_rev,8_liebe_akzeptanz lebensformen_selbstfindung_lebensformen,9_kmpfen_lngsschnitt_daten_revolution,entropy,subject_total,subject_proportion
Bio,0.254,0.1746,0.0476,0.0476,0.1111,0.0159,0.0317,0.0476,0.127,0.0952,0.0476,3.0847,63,0.0555
"Ethik, Philo",0.0638,0.7943,0.0128,0.0048,0.0319,0.0287,0.0271,0.0064,0.0144,0.0112,0.0048,1.3248,627,0.5519
Geschichte,0.2961,0.0503,0.1006,0.4637,0.0391,0.0168,0.0,0.0112,0.0,0.0,0.0223,2.0609,179,0.1576
"Psychologie, Gesundheit",0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219,5,0.0044
Sozialkunde,0.2519,0.1031,0.3931,0.1221,0.042,0.0305,0.0,0.0305,0.0,0.0076,0.0191,2.401,262,0.2306
TOTAL,0.1558,0.4815,0.1171,0.1065,0.0396,0.0264,0.0167,0.015,0.015,0.0132,0.0132,2.4,1136,1.0
