topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_politische_achtung_sicherheit_anspruch,0.0904,0.226,0.2994,0.0113,0.3729,1.923,177,0.1558
0_ethik_gerechtigkeit_handeln_mensch,0.0201,0.9104,0.0165,0.0037,0.0494,0.5779,547,0.4815
1_politik_gleichheit_freiheit gleichheit_solidaritt,0.0226,0.0602,0.1353,0.0075,0.7744,1.0965,133,0.1171
2_revolution_franzsischen_franzsischen revolution_europa,0.0248,0.0248,0.686,0.0,0.2645,1.145,121,0.1065
3_unterricht_ziel_bildung_lebens,0.1556,0.4444,0.1556,0.0,0.2444,1.852,45,0.0396
4_digitalisierung_identifizieren_einbeziehen_digitale,0.0333,0.6,0.1,0.0,0.2667,1.4464,30,0.0264
5_technik_natur_umgangs_nachhaltigen,0.1053,0.8947,0.0,0.0,0.0,0.4855,19,0.0167
6_grund_menschenrechten_zielkonflikte_mgliche,0.1765,0.2353,0.1176,0.0,0.4706,1.8078,17,0.015
7_gott_freiheit anthropologie_kommunikation_rev,0.4706,0.5294,0.0,0.0,0.0,0.9975,17,0.015
8_liebe_akzeptanz lebensformen_selbstfindung_lebensformen,0.4,0.4667,0.0,0.0,0.1333,1.4295,15,0.0132
9_kmpfen_lngsschnitt_daten_revolution,0.2,0.2,0.2667,0.0,0.3333,1.9656,15,0.0132
TOTAL,0.0555,0.5519,0.1576,0.0044,0.2306,1.6473,1136,1.0
