rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,grenze,6,1.0091937562719508,0.06274134704881135
2,politisch,39,0.6834637122625982,0.042490784053940585
3,geschichte,13,0.2661801267752108,0.016548358140059442
4,demokratie,35,0.18121455566948572,0.011266067845639277
5,zukunft,6,0.16270852027372823,0.010115551820300408
6,populismus,6,0.15435677588644764,0.009596325765037212
7,ziel,9,0.12769733566473607,0.007938914410000338
8,extremismus,12,0.1259222391909666,0.007828557064630596
9,analyse,7,0.12125801690197399,0.0075385834222771965
10,gegner,7,0.11226387680467428,0.006979419771349648
11,frage,5,0.09355302133108476,0.0058161701282035344
12,antisemitismus,45,0.09288914653374206,0.005774897182549466
13,diktatur,18,0.08381177031836805,0.005210558761030403
14,theorie,8,0.08024240344753562,0.004988652031826384
15,inhalt,18,0.07872570726348901,0.004894359373890802
16,gewalt,8,0.07678184599590007,0.004773509959547344
17,verbindung,5,0.0761621834876934,0.004734985681886182
18,nationalismus,7,0.07534168957147071,0.004683975761116028
19,krieg,15,0.07381098009067101,0.0045888118996980426
20,sjg,6,0.0729860957675183,0.00453752902832433
