term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
zelle,68,0.0001,0.0001,0.0214,0.0002,0.0001,0.0026,0.0091,0.0,0.0001,0.0,0.0107,0.0001,0.013,0.0006,0.0002
genetisch,67,0.0001,0.0001,0.0334,0.0002,0.0001,0.0001,0.0001,0.0092,0.0001,0.0,0.0001,0.0001,0.0017,0.0006,0.0002
entstehung,65,0.0001,0.0001,0.0001,0.0002,0.0001,0.0027,0.0001,0.0189,0.0001,0.0,0.0001,0.0146,0.0001,0.0006,0.0002
system,65,0.0098,0.0001,0.0001,0.0002,0.0001,0.0071,0.0001,0.0,0.0001,0.0101,0.0001,0.0001,0.0001,0.0006,0.0025
kommunikation,65,0.0001,0.011,0.0001,0.0002,0.0001,0.0041,0.0071,0.0,0.0001,0.0,0.0001,0.0001,0.0284,0.0006,0.0002
ebene,63,0.0001,0.0001,0.0092,0.0002,0.0001,0.0,0.0383,0.0054,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
osva,61,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0245,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
stoff,60,0.0083,0.0001,0.0001,0.0002,0.0001,0.0124,0.0041,0.0,0.0001,0.0,0.0001,0.0001,0.0082,0.0006,0.0002
wechselwirkung,58,0.0183,0.0001,0.0001,0.0002,0.0001,0.0,0.0081,0.0,0.0001,0.007,0.012,0.0001,0.0001,0.0006,0.0002
fitness,57,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0505,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
grundlegend,57,0.0049,0.0001,0.0001,0.0002,0.0001,0.0061,0.0261,0.0,0.0001,0.0014,0.0021,0.0001,0.0049,0.0006,0.0002
licht,55,0.0001,0.0001,0.0001,0.0002,0.0001,0.0012,0.0001,0.0,0.0001,0.0017,0.0151,0.0001,0.0227,0.0326,0.0002
biologisch,53,0.0001,0.0001,0.0032,0.0002,0.0001,0.0059,0.0128,0.002,0.0066,0.0024,0.0001,0.0001,0.0001,0.0006,0.0002
erkenntnisgewinnung,53,0.0001,0.0104,0.0001,0.0002,0.0001,0.0,0.002,0.0017,0.0047,0.0024,0.0001,0.0001,0.0184,0.0006,0.0002
evolutiv,53,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0093,0.007,0.0,0.0001,0.0001,0.0177,0.0006,0.0002
lebewe,52,0.0151,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0037,0.0048,0.0032,0.0042,0.0001,0.0045,0.0006,0.0002
begründen,50,0.0027,0.0105,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.0111,0.004,0.0114,0.0001,0.0001,0.0006,0.0002
biodiversität,50,0.0033,0.0001,0.0001,0.0002,0.0001,0.0026,0.0001,0.016,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
jahreszeit,50,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0014,0.0001,0.0145,0.0001,0.0001,0.0001,0.0006,0.0002
reproduktiv,49,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0438,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
ermöglichen,48,0.011,0.0001,0.0158,0.0002,0.0001,0.004,0.0012,0.0,0.0001,0.0014,0.0001,0.0001,0.0018,0.0006,0.0002
individuell,47,0.0001,0.0001,0.01,0.0002,0.0027,0.0012,0.0001,0.0082,0.004,0.0,0.0044,0.0001,0.0013,0.0006,0.0002
sonne,46,0.0001,0.0001,0.0001,0.0002,0.0001,0.0011,0.0001,0.0,0.0001,0.0133,0.0001,0.0001,0.0009,0.0006,0.0002
halle,46,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0773,0.0001,0.0006,0.0002
lernen,45,0.0001,0.0001,0.0086,0.0222,0.0086,0.0031,0.0161,0.0006,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
