topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,14,0.0861,378,111.9396
2,19,0.0787,386,132.7076
3,17,0.0782,307,91.1995
4,1,0.0717,371,127.7768
5,18,0.0708,276,152.3201
6,3,0.0706,311,111.6189
7,9,0.0704,245,81.1033
8,6,0.0696,323,345.5431
9,7,0.0662,251,99.6365
10,20,0.0577,195,106.204
11,15,0.0497,163,168.7448
12,4,0.0342,101,114.1862
13,13,0.0277,100,155.3183
14,8,0.0272,77,163.2941
15,12,0.0263,65,113.3959
16,11,0.0255,51,130.1259
17,5,0.0245,53,121.3077
18,16,0.023,80,67.3102
19,2,0.0216,59,141.0056
20,10,0.0203,57,205.2449
