,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities
0,personen,0.0649,lernenden,0.1515,mglichkeiten,0.1478,gedanken,0.11,armut,0.1496,moralische,0.0943,individualitt,0.2835,gewissen,0.0999,freundschaft,0.1709
1,vorurteile,0.0641,bedrfnisse,0.1398,situation,0.135,situationen,0.0798,wohlstand,0.134,moralisch,0.0649,gefhl vernunft,0.222,handelns,0.083,klassengemeinschaft,0.104
2,oft,0.0609,nehmen,0.1042,gefhls,0.1262,unterscheiden,0.0776,armut wohlstand,0.1257,beispiel,0.0623,vernunft,0.2057,bezogen,0.0817,familie,0.072
3,unterschiedliche,0.0542,soziale,0.1002,reaktionen,0.1028,verndern,0.0725,klassenstufen,0.0879,menschen,0.0483,darstellung,0.0697,motive,0.0793,probleme,0.061
4,gruppen,0.0508,gefhle bedrfnisse,0.099,jeweiligen,0.0941,umgang,0.0703,unterscheiden,0.0791,kompetenz,0.0477,methodischdidaktische,0.0615,ethischen,0.0781,insbesondere,0.0592
5,lebenswelt,0.0494,reflektieren,0.0801,identifizieren,0.0918,denen,0.0673,regeln,0.0678,normen,0.0452,methodischdidaktische hinweise,0.0615,anhand,0.0747,chancen,0.0531
6,lernen,0.0491,emotionen,0.0699,folgen,0.0906,hilfe,0.0599,perspektiven,0.0655,gut,0.0439,kompetenzen methodischdidaktische,0.0615,vernunft,0.072,regeln,0.0486
7,handeln,0.0464,wahr,0.0681,sinnvoll,0.0903,dauer,0.0575,argumente,0.0629,sinn,0.0437,etc,0.0601,geschichte,0.0637,darstellungen,0.0454
8,diskutieren,0.0417,gesellschaftliche,0.0672,kontrollieren,0.0887,sammeln,0.0567,denen unterscheiden,0.0582,umwelt,0.0423,persnlichkeit,0.0586,gerechtigkeit,0.0604,verschiedenen,0.0443
9,positionen,0.0414,selbstwahrnehmung,0.0663,ableiten,0.0887,bereits,0.054,gefhle denen,0.0582,nutzen,0.0417,gesellschaft,0.053,ethisch,0.0604,verschiedener,0.0433
10,mensch ethik,0.0392,interessen,0.0653,reagieren,0.0871,gefhle auslsen,0.0532,eigene perspektiven,0.0571,werte,0.0411,macht,0.0526,natur,0.052,begegnung,0.0384
11,entwickeln,0.039,voraussetzungen,0.0646,eigenes,0.0843,auslsen,0.0518,perspektiven gefhle,0.0571,unterschiedlichen,0.0392,errtern,0.0526,ansatzweise,0.0509,frage,0.0381
12,bedrfnisse,0.0387,sozialer,0.0625,reflexion,0.0843,perspektiven gefhle,0.0509,reflektieren,0.0545,religion,0.0382,emotionale,0.0505,deutschen,0.046,weise,0.0376
13,toleranz,0.0362,rechte,0.0597,bestimmten situationen,0.0843,verdeutlichen,0.0485,kulturen,0.054,dar,0.0359,formen szenischer,0.0494,kennen,0.0435,beitrag,0.0373
14,gut,0.0361,erkennen,0.0595,weise,0.0817,gefhle gefhle,0.048,denen,0.0503,jeweiligen,0.0356,beurteilen,0.0491,werte,0.0426,entwickeln,0.0369
15,spielen,0.0355,personale,0.0587,bestimmten,0.0775,beschreibungen,0.0473,leben,0.05,grundlage,0.0352,szenischer,0.0481,gesellschaft,0.0384,kommunikation,0.0363
16,menschen,0.0355,vier,0.0577,mensch ethik,0.0747,beschreibungen verdeutlichen,0.0473,relevante,0.0442,reflektieren,0.035,definieren,0.0481,benennen,0.0381,gefhlen bedrfnissen,0.0354
17,ermitteln,0.0345,erfassen,0.0572,situationen,0.0741,gefhle beschreiben,0.0471,folgen,0.0435,recht,0.0346,szenischer darstellung,0.0481,kommen,0.0381,hinblick,0.0354
18,vorstellungen,0.0345,sozialkompetenz,0.0568,denken,0.0723,formulieren,0.0471,beschreiben reflektieren,0.0432,identitt,0.0336,mensch ethik,0.0455,empfindungen,0.0368,erstellen,0.0339
19,deren,0.0344,dabei,0.0563,selbsterkenntnis,0.0674,verwenden,0.0466,kompetenzerwartungen knnen,0.0411,phnomene,0.0336,formen,0.045,erkennen,0.0367,leben,0.0335
