subject,-1_personen_vorurteile_oft_unterschiedliche,0_lernenden_bedrfnisse_nehmen_soziale,1_mglichkeiten_situation_gefhls_reaktionen,2_gedanken_situationen_unterscheiden_verndern,3_armut_wohlstand_armut wohlstand_klassenstufen,4_moralische_moralisch_beispiel_menschen,5_individualitt_gefhl vernunft_vernunft_darstellung,6_gewissen_handelns_bezogen_motive,7_freundschaft_klassengemeinschaft_familie_probleme,entropy,subject_total,subject_proportion
Bio,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1568,10,0.0282
"Ethik, Philo",0.1142,0.0865,0.0969,0.2111,0.0865,0.1765,0.0623,0.083,0.083,3.0557,289,0.8164
Geschichte,0.2381,0.2857,0.0,0.0,0.0,0.0,0.0,0.3333,0.1429,1.9387,21,0.0593
Psychologie,0.2857,0.3571,0.0714,0.0714,0.0,0.0714,0.0,0.0,0.1429,2.2638,14,0.0395
Sozialkunde,0.4,0.3,0.05,0.0,0.0,0.0,0.0,0.2,0.05,1.9464,20,0.0565
TOTAL,0.1469,0.1384,0.0847,0.1751,0.0706,0.1469,0.0508,0.0989,0.0876,3.0761,354,1.0
