topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Demokratischen · Grundordnung · Demokratischer,0.0,0.1364,0.2727,0.0,0.5909,1.3517,22,0.0178
Digitalisierung · Knnen · Identifizieren,0.0833,0.6389,0.0556,0.0,0.2222,1.4256,36,0.0291
Ethik · Freiheit Verantwortung · Gerechtigkeit,0.0015,0.9414,0.0225,0.0075,0.027,0.4131,666,0.5388
Europischen · Europa · Europische,0.0,0.0,0.55,0.0,0.45,0.9928,20,0.0162
Fhrt · Revolution · Kmpfen,0.0,0.0,1.0,0.0,0.0,0.0,16,0.0129
Herrschaft · Republik · Freiheit Gleichheit,0.0,0.125,0.5,0.0,0.375,1.4056,24,0.0194
Kein Thema (Ausreißer),0.0736,0.3333,0.3247,0.0,0.2684,1.8416,231,0.1869
Marktwirtschaft · Sozialen · Ausgleich,0.0,0.125,0.0,0.0,0.875,0.5436,32,0.0259
Politik · Menschenwrde Freiheit · Grundlagen,0.0,0.0,0.0606,0.0,0.9394,0.3298,66,0.0534
Revolution · Franzsischen · Franzsischen Revolution,0.0,0.0189,0.7736,0.0,0.2075,0.8654,53,0.0429
Technik · Natur · Umgangs,0.0952,0.9048,0.0,0.0,0.0,0.4537,21,0.017
Theoriebezug · Theoriebezug Perspektive · Strukturierende,0.0,0.0,1.0,0.0,0.0,0.0,16,0.0129
Ziel · Unterricht · Erreicht,0.0606,0.4848,0.2727,0.0,0.1818,1.7099,33,0.0267
