subject_clean,Allgemeine Ethik · Allgemeine · Inhaltsbezogene,Anspruch · Anspruch Achtung · Achtung,Beitrag · Iii · Leitperspektive,Digitale · Eth Verantwortung · Digitale Welt,Einflüsse · Einflüsse Entscheidungen · Person,Entfaltung Persönlichkeit · Freiheiten Berücksichtigen · Berücksichtigen Differenzierendes,Eth · Eth Anthropologie · Gott,Eth · Rechtliche Stellung · Durchbruch,Glück · Mögliche · Aufdecken,Ideologien · Toleranz · Autorität,Inneren · Inneren Äußeren · Willens,Kants · Moralphilosophie · Erarbeiten,Kein Thema (Ausreißer),Partnerschaft · Sexualität · Max,Perspektive · Strukturierende · Dimensionen,Reflexionsbereich · Glaube · Natur Mensch,Revolution · Französischen Revolution · Französischen,Revolution · Kämpfen · Protest Aufstand,Rolle Spielen · Sichtbar · Spielen,Schutz · Friedenssicherung · Religionen Weltanschauungen,Sinn · Verhältnisses · Eltern,Solidarität · Menschenwürde Gleichheit · Gleichheit Solidarität,Stunden · Utilitarismus · Willensfreiheit,Verantwortung Aufzeigen · Soziale Beziehungen · Beziehungen,entropy,subject_total,subject_proportion
Bio,0.0,0.0,0.12,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.04,0.16,0.04,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.12,2.6635,25,0.0202
"Ethik, Philo",0.0906,0.0375,0.1061,0.0323,0.0103,0.0259,0.0013,0.0,0.0427,0.0233,0.0207,0.0673,0.3105,0.0129,0.0582,0.0233,0.0026,0.0065,0.031,0.0103,0.031,0.0013,0.0272,0.0272,3.6241,773,0.6254
Geschichte,0.029,0.0097,0.0386,0.029,0.0145,0.0483,0.0097,0.0,0.0242,0.0242,0.0,0.0628,0.2222,0.0145,0.1159,0.0,0.1498,0.1932,0.0,0.0097,0.0,0.0,0.0,0.0048,3.3183,207,0.1675
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.371,5,0.004
Sozialkunde,0.0619,0.0,0.0133,0.0487,0.0177,0.0044,0.2345,0.0708,0.0,0.0,0.0133,0.0796,0.0885,0.0044,0.0,0.0,0.0044,0.0575,0.0,0.0531,0.0,0.2257,0.0,0.0221,3.2628,226,0.1828
