topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.1635,212,71.2363
2,1,0.1555,203,86.6342
3,4,0.147,176,35.0083
4,9,0.1236,178,52.0406
5,3,0.1202,159,65.9028
6,10,0.0847,110,56.3211
7,2,0.0586,66,80.7827
8,5,0.0551,65,37.5986
9,7,0.0502,44,55.0025
10,8,0.0417,52,52.9816
