topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,2,0.2299,439,37.9228
2,11,0.1385,214,67.4208
3,5,0.0974,149,44.6814
4,1,0.0919,118,51.3427
5,9,0.0756,101,83.8577
6,3,0.0637,83,78.01
7,12,0.0619,78,42.4335
8,8,0.0578,65,100.0012
9,7,0.0569,60,86.9018
10,10,0.0563,77,61.6766
11,6,0.0392,42,137.7815
12,4,0.0308,40,87.891
