Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
welt,entwickeln,ökonomisch,ethisch,argumentieren,politisch,wissenschaftlich,sowohl,sinnvorstellung,maß,begriff,sozial,element,interesse,bereich
wissenschaft,urteilsfähigkeit,sozial,position,inhalt,entscheidung,psychologisch,wichtig,position,handeln,aristoteles,human,naturwissenschaftlich,politisch,zeigen
problem,politisch,begründen,mensch,fähigkeit,vertreten,theoretisch,diskussion,diskurse,wesentlich,beziehen,gesellschaftlich,fähigkeit,denkweise,verantwortlich
technik,ökonomisch,zusammenhang,verstehen,philosophisch,ökologie,religiös,lassen,rahmen,mensch,phänomen,gesellschaft,ermöglichen,verhalten,wirtschaftsordnung
menschlich,gesellschaftlich,handeln,frage,hinsichtlich,formulieren,psychologie,lernen,urteil,technisch,systematik,wirtschaft,wesentlich,mensch,gesellschaftlich
wirtschaft,maßstab,nutzen,verschieden,form,reflektiert,mensch,bürger,vertreten,frage,modell,politisch,position,entscheidung,rahmen
erkenntnis,wertbezogen,nachhaltigkeit,urteil,situation,sinn,bewältigung,beziehen,philosophisch,verstand,bedeutung,wirtschaftlich,politisch,regel,erfassen
mensch,begründeter,lernen,erfassen,stellen,selbstständig,erkenntnis,denken,deutungsmuster,vernunft,urteil,entwickeln,erfolgen,zusammenhang,historisch
denken,demokratisch,situation,problemstellung,philosophie,wirtschaftlich,verfahren,problem,argumentativ,nachhaltig,psychologie,fähigkeit,fakt,vertreten,funktion
wesen,fähigkeit,rechtlich,urteilsbildung,bedeuten,kriterium,praktisch,mensch,prüfen,menschheit,sowohl,handeln,prozeß,perspektivwechsel,entscheidend
bedingung,toleranz,relevant,legitimieren,üben,spannungsverhältnis,religion,insbesondere,erhöht,ethik,philosophie,rechtlich,unterliegen,konflikt,auseinandersetzung
wissen,schemata,möglichkeit,moralisch,frage,ökonomie,fundiert,öffentlich,frage,welt,leben,nachhaltig,legitim,austragen,wirtschaftlich
auseinandersetzung,analyse,verschieden,fairness,diskurs,umsetzungsmöglichkeit,herausforderung,ziel,perspektive,kritik,zusammenhang,unterschiedlich,auszutrag,rolle,wirtschaft
perspektive,medium,ökologisch,präsentieren,denken,nennen,bedeutung,analyse,beitrag,somit,verhalten,setzen,bereitschaft,einhalten,leben
bieten,sachverhalt,berücksichtigen,unterschiedlich,nehmen,einnehmen,perspektive,person,normativ,fähigkeit,bereich,bereitschaft,berücksichtigen,gewaltfrei,begreifen
ethik,chance,hinaus,argumentativ,argument,weitgehend,handlungsweise,verhältnis,kriteriengeleiten,form,persönlich,identität,kriterium,simulativ,verflechtung
geschichte,freiheitlich,geltungsansprüch,befähigung,auseinandersetzung,widerstand,erweiterung,ethisch,möglichkeit,philosophisch,entwickeln,ökonomisch,methode,versetzen,entwicklung
gesellschaft,hintergrund,theorie,diskurs,erwerben,zivilcourage,phänomen,information,grundlegend,begründet,psychisch,wirtschaftspolitisch,entscheidungsfindung,situation,voraussetzung
behandeln,digital,überprüfen,austausch,zunehmend,kritisch,subjektiv,freiheit,argument,naturwissenschaftlich,umgang,politik,lernbereich,demokratisch,möglichkeit
philosophie,traditionell,unterschiedlich,geprägt,voraus,treffen,empirisch,urteil,person,emotional,ermöglichen,hinaus,analytisch,verfahren,handeln
