term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
politisch,114,0.0002,0.0673,0.0004,0.0002,0.0005,0.0621,0.0003,0.0013,0.0003,0.0003,0.0009,0.0243,0.0233,0.0681,0.0008
fähigkeit,68,0.0002,0.0285,0.0104,0.0009,0.0379,0.0004,0.0003,0.0013,0.0002,0.0193,0.0009,0.0191,0.0364,0.0006,0.0007
vertreten,62,0.0002,0.0001,0.0004,0.0003,0.0005,0.0499,0.0003,0.0013,0.0243,0.0003,0.0009,0.0112,0.0003,0.0261,0.0007
entwickeln,60,0.0003,0.0809,0.0001,0.0002,0.0067,0.0002,0.0032,0.0013,0.0011,0.0003,0.018,0.0222,0.0002,0.0009,0.0007
mensch,60,0.0218,0.0001,0.0098,0.0307,0.0005,0.0036,0.0256,0.0156,0.0002,0.029,0.0009,0.0003,0.0002,0.0328,0.0008
gesellschaftlich,55,0.0003,0.0504,0.0062,0.0002,0.0005,0.0002,0.0003,0.0013,0.0064,0.0003,0.0009,0.0258,0.0131,0.0001,0.0276
position,55,0.0002,0.0001,0.0001,0.036,0.0055,0.0002,0.0003,0.0013,0.048,0.0003,0.0009,0.0001,0.0234,0.0058,0.0008
entscheidung,54,0.0002,0.0001,0.0014,0.0003,0.0005,0.0563,0.0003,0.0013,0.0082,0.0003,0.0009,0.0109,0.0002,0.0324,0.0008
ökonomisch,48,0.0002,0.0574,0.0621,0.0002,0.0005,0.0002,0.0003,0.0013,0.0003,0.0003,0.0009,0.0143,0.0002,0.0001,0.0007
welt,47,0.0539,0.0001,0.0002,0.0002,0.0052,0.0003,0.0082,0.0013,0.0029,0.0204,0.001,0.0001,0.0165,0.0001,0.0007
sozial,46,0.0002,0.0001,0.0427,0.0002,0.0005,0.0091,0.0107,0.0013,0.0002,0.0068,0.01,0.0329,0.0052,0.0002,0.0007
