topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,2,67,3,1,13,86
2,6,16,15,2,26,65
3,3,50,1,1,8,63
4,0,69,8,2,25,104
5,5,36,3,4,15,63
6,9,44,11,1,12,77
7,15,98,7,3,59,182
