term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
sozial,228,0.0211,0.0301,0.0049,0.0175,0.0001,0.0147,0.0096
wunsch,195,0.0057,0.0001,0.0051,0.002,0.056,0.0005,0.0132
mensch,184,0.0001,0.0001,0.0118,0.0087,0.0231,0.0022,0.025
leben,146,0.0061,0.008,0.0166,0.0204,0.0017,0.0018,0.0081
reflektieren,142,0.0091,0.0195,0.0001,0.0025,0.0001,0.024,0.0059
beschreiben,137,0.0147,0.0001,0.0026,0.0162,0.0159,0.0047,0.0053
interesse,128,0.0241,0.0053,0.0115,0.0001,0.0001,0.0198,0.0001
unterschiedlich,120,0.0106,0.0219,0.006,0.0001,0.0035,0.0001,0.0099
fähigkeit,119,0.0001,0.0128,0.0001,0.0001,0.0027,0.0333,0.0037
handeln,110,0.0033,0.0053,0.0001,0.0097,0.0001,0.0215,0.0065
lernende,104,0.0001,0.0341,0.0001,0.0001,0.0001,0.016,0.0
gefühl,103,0.0108,0.0155,0.0053,0.0019,0.0001,0.0144,0.0
kompetenz,102,0.0001,0.0002,0.0165,0.0105,0.0073,0.0096,0.0035
verschieden,94,0.007,0.0001,0.0001,0.0074,0.0029,0.0025,0.013
gesellschaftlich,90,0.0001,0.0133,0.0001,0.0003,0.0076,0.0059,0.0098
familie,80,0.0054,0.0001,0.0001,0.0014,0.0236,0.0001,0.0045
wirtschaftlich,75,0.0003,0.0001,0.0001,0.0043,0.0078,0.0001,0.0148
erkennen,73,0.0028,0.0001,0.0001,0.0005,0.0001,0.0233,0.0038
freiheit,73,0.004,0.0001,0.0023,0.0039,0.0223,0.0019,0.0005
möglichkeit,71,0.0043,0.0073,0.0069,0.0022,0.0008,0.0005,0.0077
regel,71,0.0093,0.0001,0.0267,0.001,0.0001,0.0001,0.0001
entwicklung,71,0.0001,0.0001,0.0001,0.0001,0.0006,0.0001,0.0194
erläutern,71,0.0001,0.0001,0.0012,0.01,0.0143,0.0001,0.0045
frage,70,0.0033,0.0001,0.0119,0.0027,0.0028,0.0001,0.0083
sucht,69,0.0226,0.0001,0.0055,0.0018,0.0002,0.0003,0.0
bedeutung,68,0.0041,0.0001,0.0027,0.0062,0.0008,0.0001,0.0105
rolle,68,0.0001,0.0001,0.0038,0.002,0.0128,0.0001,0.009
entwickeln,68,0.0001,0.0025,0.0032,0.0001,0.0107,0.0161,0.0001
individuell,68,0.0026,0.0001,0.0057,0.0001,0.0027,0.0031,0.0114
umgang,64,0.0001,0.0021,0.0001,0.0021,0.0012,0.0026,0.0126
verantwortung,63,0.0001,0.0001,0.0001,0.0039,0.0139,0.0086,0.002
funktion,62,0.0014,0.0035,0.0001,0.0121,0.0116,0.0001,0.0005
menschlich,60,0.0001,0.0001,0.0014,0.0134,0.0001,0.0001,0.0071
gesellschaft,60,0.0001,0.0095,0.0014,0.0001,0.0062,0.0001,0.008
konflikt,60,0.0001,0.0001,0.0138,0.0001,0.0027,0.0106,0.0024
nehmen,59,0.0001,0.0119,0.0001,0.0001,0.0001,0.0077,0.0049
wahrnehmung,59,0.0172,0.0001,0.0001,0.0022,0.0052,0.0001,0.0
glück,59,0.0001,0.0016,0.0095,0.0061,0.0092,0.0001,0.0012
konsum,59,0.0001,0.0001,0.0001,0.0247,0.0001,0.0001,0.0
liebe,52,0.0001,0.0001,0.0032,0.0157,0.0041,0.0001,0.0
erfassen,51,0.0032,0.0064,0.0022,0.0001,0.0001,0.0121,0.0002
vielfalt,51,0.0001,0.0001,0.0004,0.002,0.0063,0.0143,0.0007
eth,48,0.0001,0.0001,0.0001,0.0001,0.0247,0.0001,0.0
auseinandersetzung,47,0.0001,0.0001,0.0011,0.0001,0.0001,0.0078,0.0076
sexualität,47,0.0001,0.0001,0.003,0.0133,0.0046,0.0001,0.0
lebensform,47,0.0001,0.0001,0.0001,0.0018,0.0211,0.0001,0.0001
möglich,45,0.0052,0.0001,0.0109,0.0027,0.0001,0.0001,0.0021
zusammenhang,45,0.0098,0.0001,0.0014,0.0071,0.0012,0.0001,0.0001
begriff,44,0.0053,0.0001,0.0001,0.0095,0.0008,0.0001,0.002
situation,44,0.0081,0.0001,0.0028,0.0001,0.0062,0.0019,0.0007
gemeinschaft,44,0.0001,0.007,0.0002,0.0122,0.0001,0.0001,0.0001
inhalt,44,0.0001,0.0001,0.0138,0.0059,0.0001,0.0001,0.0023
ethik,42,0.0001,0.0001,0.0119,0.006,0.0034,0.0001,0.0
verantwortlich,42,0.0001,0.0001,0.0001,0.0009,0.0001,0.0132,0.0029
grundbedürfnisse,42,0.0031,0.0001,0.0082,0.0085,0.0001,0.0001,0.0
gut,42,0.0001,0.0001,0.0016,0.0147,0.0001,0.0013,0.0008
analysieren,41,0.0081,0.0001,0.0001,0.0001,0.0001,0.0055,0.0028
identität,41,0.0007,0.0042,0.003,0.0001,0.0133,0.0001,0.0
grenze,39,0.0005,0.0001,0.0001,0.0001,0.0001,0.0129,0.0026
voraussetzung,38,0.0001,0.0127,0.0001,0.0012,0.0001,0.0004,0.0025
nachhaltig,37,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0103
