topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,2,0.4176,288,34.046
2,5,0.1608,93,23.3007
3,1,0.1567,94,29.3915
4,4,0.1495,85,25.5603
5,3,0.1154,63,28.1859
