topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,11,61,58,3,59,192
2,84,262,12,5,36,399
3,0,129,2,4,11,146
4,4,101,4,2,5,116
5,15,178,12,9,67,281
