term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
wert,1230,0.0474,0.0362,0.0397,0.0345,0.033
moralisch,357,0.0228,0.0053,0.009,0.0,0.0001
handeln,338,0.0174,0.0,0.0025,0.026,0.0005
gesellschaftlich,270,0.0102,0.0074,0.001,0.0068,0.0238
ethisch,253,0.0144,0.007,0.0,0.0042,0.0041
ethik,240,0.0125,0.0039,0.0063,0.0023,0.0054
regel,189,0.003,0.007,0.0244,0.0,0.0001
sozial,178,0.0047,0.005,0.0109,0.0135,0.0001
frage,175,0.0078,0.0041,0.0025,0.0032,0.0088
gesellschaft,171,0.0072,0.0108,0.0015,0.0003,0.0059
bedeutung,169,0.0053,0.006,0.0106,0.006,0.0001
mensch,162,0.0097,0.005,0.0,0.0034,0.0001
verschieden,148,0.005,0.0047,0.0144,0.0,0.0001
wertvorstellung,147,0.0035,0.005,0.0019,0.0033,0.0153
religiös,140,0.0004,0.0159,0.0,0.0032,0.0085
leben,132,0.006,0.0027,0.0014,0.0081,0.0001
entscheidung,130,0.0086,0.0024,0.0012,0.0034,0.0001
religion,126,0.0043,0.013,0.0,0.0,0.0001
historisch,115,0.0012,0.0035,0.002,0.013,0.0057
politisch,113,0.0,0.0,0.0,0.0001,0.0383
entwicklung,107,0.0055,0.0025,0.0,0.0055,0.0026
unterschiedlich,106,0.0052,0.0079,0.0013,0.0,0.0001
gerechtigkeit,106,0.0073,0.002,0.0,0.0022,0.0001
zusammenleben,102,0.0023,0.006,0.0081,0.0,0.0001
begründen,101,0.0072,0.003,0.0,0.0,0.0001
aufgabe,100,0.0006,0.0035,0.0078,0.0061,0.0049
sinn,96,0.001,0.0,0.0052,0.0141,0.0001
kriterium,93,0.0068,0.0015,0.0,0.0021,0.0001
perspektive,88,0.0069,0.0016,0.0,0.0003,0.0001
lernen,86,0.0007,0.0009,0.0113,0.0,0.0065
bne,85,0.0029,0.0074,0.0,0.0046,0.0001
möglichkeit,85,0.0009,0.0027,0.0096,0.0031,0.0018
handlung,82,0.0067,0.0,0.0,0.0,0.0001
argument,82,0.007,0.0,0.0,0.0001,0.0001
toleranz,81,0.001,0.0053,0.0011,0.0079,0.0001
begriff,79,0.0035,0.0062,0.0,0.0,0.0001
auseinandersetzung,78,0.0023,0.0018,0.0,0.0092,0.0001
menschenrecht,78,0.001,0.0101,0.0,0.0023,0.0001
umgang,77,0.0019,0.0069,0.0023,0.0016,0.0001
sachverhalt,74,0.0057,0.0011,0.0,0.0001,0.0012
werturteil,72,0.0005,0.0,0.0,0.0055,0.0156
form,72,0.0026,0.008,0.0,0.0001,0.0001
demokratisch,70,0.0,0.0061,0.0,0.0056,0.0039
aussage,68,0.006,0.0,0.0001,0.0,0.0001
konflikt,68,0.0015,0.0082,0.0,0.0015,0.0001
beitrag,66,0.0007,0.0,0.0,0.0099,0.0041
unterrichtsfach,64,0.0,0.0,0.0019,0.0044,0.0096
bereich,63,0.0011,0.0017,0.0073,0.0,0.0023
europäisch,61,0.0,0.0001,0.0,0.0169,0.0001
formulieren,61,0.0018,0.0,0.0,0.0015,0.0109
jugendliche,60,0.0006,0.0073,0.0,0.0,0.0047
bestimmt,60,0.0015,0.0,0.0082,0.001,0.0001
gesetz,59,0.0,0.0,0.0134,0.0,0.0001
grundgesetz,57,0.0,0.0056,0.0065,0.0001,0.0001
sicherheit,55,0.0013,0.0013,0.0079,0.0,0.0001
überprüfen,54,0.0017,0.0026,0.0,0.0002,0.0067
rolle,54,0.0007,0.0091,0.0,0.0,0.0001
diskussion,53,0.0014,0.0,0.0,0.0014,0.0081
ziel,52,0.0011,0.0,0.0,0.0037,0.007
familie,52,0.0,0.0015,0.0102,0.0,0.0001
gelten,52,0.0,0.0,0.0114,0.0,0.0001
technisch,50,0.0,0.0,0.0114,0.0,0.0001
ökonomisch,49,0.0,0.0,0.0,0.0,0.0158
tragen,48,0.0003,0.0015,0.0,0.0082,0.0001
fördern,48,0.0002,0.0016,0.0024,0.0058,0.0001
geltend,48,0.0,0.0,0.0061,0.0,0.0075
philosophie,47,0.0009,0.0,0.0024,0.0,0.0072
leisten,46,0.0,0.0,0.0,0.0078,0.0034
verlangen,45,0.0,0.0078,0.0,0.0,0.0001
weltanschaulich,45,0.0,0.0068,0.0013,0.0,0.0001
wirtschaftlich,45,0.0,0.0,0.0033,0.0002,0.011
system,42,0.0,0.0,0.0,0.0,0.0128
berücksichtigung,41,0.0,0.0003,0.0,0.0075,0.003
verwendung,39,0.0,0.0,0.0,0.0001,0.0117
art,38,0.0,0.0,0.0091,0.0,0.0001
verstehen,32,0.0,0.0,0.0076,0.0001,0.0001
gegenwärtig,32,0.0,0.0,0.0,0.0076,0.0001
aufbauend,28,0.0,0.0,0.0,0.0008,0.0074
bilden,25,0.0,0.0,0.0,0.0059,0.0001
anspruch,24,0.0,0.0,0.0,0.0,0.0068
