term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
gegenwart,277,0.0151,0.0029,0.0076,0.0046,0.0099,0.0371,0.0229
historisch,199,0.0353,0.0001,0.0075,0.0,0.0001,0.0185,0.0099
mensch,165,0.0042,0.0086,0.0002,0.0069,0.005,0.0222,0.0105
leben,148,0.0001,0.013,0.0061,0.0172,0.0001,0.0158,0.0058
politisch,145,0.0076,0.0001,0.0002,0.0151,0.0001,0.0199,0.0023
frage,136,0.0001,0.0194,0.0265,0.0018,0.0174,0.0146,0.0001
entwicklung,121,0.0021,0.0026,0.006,0.007,0.0063,0.0128,0.0136
geschichte,118,0.0001,0.0002,0.0075,0.0014,0.0001,0.0186,0.0139
gesellschaftlich,114,0.0074,0.0077,0.0002,0.004,0.0051,0.0123,0.0098
sozial,110,0.0001,0.0001,0.0002,0.0105,0.0113,0.0161,0.0001
gestaltung,110,0.0167,0.0301,0.0002,0.0001,0.0001,0.004,0.0078
kompetenz,103,0.004,0.0083,0.0002,0.0098,0.0093,0.0104,0.0001
handeln,100,0.0001,0.0001,0.0002,0.0059,0.0168,0.0108,0.0079
fach,97,0.0093,0.0001,0.0072,0.0028,0.0064,0.0103,0.0058
vergangenheit,97,0.0001,0.0028,0.0076,0.0,0.0001,0.0171,0.0079
herausforderung,88,0.0042,0.0002,0.0002,0.0182,0.0028,0.0031,0.0052
gesellschaft,80,0.0001,0.0002,0.0002,0.0174,0.0001,0.0073,0.0002
arbeit,79,0.0001,0.0001,0.0728,0.0,0.0024,0.0036,0.0001
inhalt,79,0.0001,0.0001,0.0002,0.0083,0.006,0.0084,0.0069
europa,77,0.0105,0.0001,0.0002,0.0183,0.0001,0.0,0.0001
lernen,76,0.008,0.0002,0.0002,0.0113,0.0087,0.003,0.0002
reflektieren,74,0.0079,0.0344,0.0002,0.0,0.0061,0.0001,0.0047
europäisch,74,0.0263,0.0001,0.0002,0.0047,0.0001,0.0,0.0001
demokratie,73,0.0001,0.0001,0.0002,0.0255,0.0001,0.0,0.0001
entwickeln,72,0.0001,0.0235,0.0002,0.001,0.0092,0.008,0.0001
welt,69,0.0009,0.0023,0.0002,0.014,0.0024,0.0,0.008
aktuell,66,0.0134,0.0001,0.0002,0.0027,0.0001,0.0001,0.0117
problem,65,0.0087,0.0001,0.0002,0.0007,0.0001,0.0101,0.0002
ethik,63,0.0001,0.0002,0.0054,0.012,0.0078,0.0015,0.0001
beitrag,57,0.0001,0.0001,0.0002,0.0102,0.0001,0.0059,0.0001
verschieden,57,0.0024,0.0043,0.0002,0.0024,0.0097,0.0049,0.0038
bedeutung,55,0.0017,0.0028,0.0002,0.0046,0.0034,0.0011,0.0114
bezug,55,0.0009,0.0001,0.0002,0.0114,0.0001,0.0,0.0069
thema,54,0.001,0.0001,0.0055,0.0092,0.0007,0.0001,0.0087
auseinandersetzung,53,0.0005,0.0001,0.0181,0.0,0.0059,0.0047,0.005
orientierung,53,0.0001,0.0001,0.0002,0.0022,0.0011,0.0039,0.0132
chance,51,0.0028,0.0109,0.0077,0.001,0.0063,0.0011,0.0055
medium,50,0.0001,0.0001,0.0002,0.0,0.0001,0.0,0.0242
deutschland,49,0.0074,0.0001,0.0002,0.0109,0.0001,0.0,0.0001
ökonomisch,49,0.0001,0.0001,0.0002,0.0,0.0133,0.0087,0.0001
international,48,0.0045,0.0001,0.0002,0.0126,0.0001,0.0,0.0001
wandel,47,0.0104,0.0001,0.0002,0.0054,0.0001,0.0007,0.0012
denken,46,0.0044,0.0001,0.0002,0.0001,0.0201,0.0025,0.0001
bewerten,45,0.0121,0.0035,0.0002,0.0,0.0005,0.0,0.0043
rolle,44,0.0001,0.0013,0.0002,0.002,0.001,0.0089,0.0001
frieden,44,0.0001,0.0002,0.0002,0.0148,0.0001,0.0,0.0001
menschlich,43,0.0001,0.0001,0.0002,0.0029,0.0019,0.0022,0.0103
unterricht,42,0.0001,0.0001,0.0002,0.0,0.001,0.0049,0.0107
fähigkeit,42,0.0025,0.0001,0.0002,0.0,0.0001,0.0084,0.0008
grundlage,42,0.0001,0.0001,0.0002,0.002,0.0088,0.0033,0.006
iii,40,0.0001,0.0002,0.0002,0.0117,0.0001,0.0,0.0001
darstellung,37,0.0028,0.0001,0.0104,0.0005,0.0001,0.0041,0.0014
perspektive,36,0.0077,0.0001,0.0002,0.0009,0.0001,0.003,0.0008
gerechtigkeit,36,0.0001,0.0002,0.0002,0.011,0.0001,0.0,0.0001
lernbereich,36,0.0002,0.0001,0.0002,0.0068,0.0097,0.0011,0.0001
phänomen,35,0.0001,0.0001,0.0002,0.0,0.0001,0.0083,0.0002
lernende,35,0.0076,0.0001,0.0002,0.0045,0.001,0.0,0.0001
analysieren,34,0.0003,0.0193,0.0002,0.0,0.0001,0.0033,0.0001
aufgabe,34,0.0097,0.0002,0.0002,0.0,0.0001,0.0,0.0047
blick,34,0.0001,0.0001,0.0002,0.0002,0.0171,0.003,0.0001
interesse,34,0.0003,0.0001,0.0002,0.0034,0.0001,0.0001,0.0113
stellen,33,0.0001,0.0001,0.0002,0.0,0.0001,0.0036,0.009
grenze,33,0.0001,0.0001,0.0002,0.004,0.0001,0.0,0.0102
hoffnung,32,0.0001,0.0139,0.0002,0.0007,0.0074,0.0012,0.0001
bereich,31,0.0087,0.0001,0.0054,0.0,0.0001,0.001,0.0001
erörtern,31,0.011,0.0001,0.003,0.0,0.0001,0.0,0.0001
einsicht,30,0.0001,0.0047,0.0146,0.0,0.0001,0.0023,0.0015
zukünftig,30,0.0001,0.0002,0.018,0.0,0.0032,0.0024,0.0008
natur,29,0.0001,0.0001,0.0002,0.0001,0.012,0.0016,0.0031
persönlich,29,0.0001,0.0049,0.0002,0.0,0.0197,0.0,0.0001
digital,29,0.0001,0.0001,0.0002,0.0008,0.0001,0.0,0.0127
beruflich,28,0.0001,0.0282,0.0002,0.0,0.0001,0.0,0.0001
sozialstaat,27,0.0001,0.0001,0.0002,0.0096,0.0001,0.0,0.0001
erkenntnis,27,0.0079,0.0001,0.0002,0.0006,0.0001,0.001,0.0001
vorstellung,27,0.0001,0.016,0.0002,0.0,0.0001,0.0024,0.0001
angesichts,26,0.0023,0.0141,0.0002,0.0,0.0001,0.0015,0.0001
form,26,0.0001,0.0001,0.0247,0.0,0.0012,0.001,0.0001
erhalten,25,0.0001,0.0218,0.0002,0.0007,0.0001,0.0,0.0001
misserfolg,23,0.0001,0.0142,0.0002,0.0,0.0019,0.0012,0.0001
dimension,22,0.0001,0.001,0.0002,0.0016,0.0089,0.0015,0.0001
erfolg,22,0.0013,0.0135,0.0002,0.0,0.0003,0.0012,0.0001
nutzen,21,0.0001,0.0001,0.0002,0.0,0.0019,0.0,0.0086
union,21,0.0081,0.0001,0.0002,0.0011,0.0001,0.0,0.0001
beziehen,19,0.0001,0.0001,0.0002,0.0005,0.0106,0.0006,0.001
wirklichkeit,19,0.0001,0.0001,0.0106,0.0013,0.0041,0.0,0.0001
analyse,18,0.0001,0.0001,0.0086,0.0015,0.0001,0.0017,0.0001
befürchtung,18,0.0001,0.0142,0.0002,0.0,0.002,0.0,0.0001
didaktisch,18,0.0001,0.0001,0.0054,0.0,0.0099,0.0,0.0006
handlungsspielraum,18,0.0001,0.013,0.0002,0.0,0.0001,0.0,0.0021
privat,16,0.0001,0.0129,0.0002,0.0,0.002,0.0,0.0001
relevant,16,0.0001,0.0146,0.0002,0.0,0.0001,0.0,0.0001
anlage,15,0.0001,0.0032,0.0142,0.0,0.0001,0.0,0.0001
prinzip,15,0.0001,0.0001,0.0002,0.0014,0.009,0.0,0.0001
markt,15,0.0001,0.0001,0.0107,0.0013,0.0001,0.0,0.0017
datum,14,0.0001,0.0001,0.0165,0.0,0.0001,0.0,0.0001
sprache,14,0.0001,0.0001,0.0002,0.0006,0.0096,0.0,0.0001
alternative,13,0.0001,0.0001,0.0105,0.0004,0.0001,0.0009,0.0001
beeinflussen,13,0.0001,0.0001,0.0093,0.0,0.0001,0.0,0.0026
bedürfnis,12,0.0001,0.011,0.0002,0.0,0.0001,0.0,0.0001
positiv,12,0.0001,0.0001,0.0002,0.0,0.0095,0.0,0.0001
text,12,0.0001,0.0032,0.0105,0.0001,0.0001,0.0,0.0001
notwendigkeit,11,0.0001,0.011,0.0002,0.0,0.0002,0.0,0.0001
sehen,10,0.0001,0.0001,0.0119,0.0001,0.0001,0.0,0.0001
statistisch,10,0.0001,0.0001,0.0119,0.0,0.0001,0.0,0.0001
gmbh,10,0.0001,0.0001,0.0118,0.0,0.0001,0.0,0.0001
designermöbel,9,0.0001,0.0001,0.0107,0.0,0.0001,0.0,0.0001
statistik,9,0.0001,0.0001,0.0092,0.0,0.0001,0.0,0.0008
