Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
europäisch,gegenwart,politisch,leben,demokratie,chance,arbeit
historisch,historisch,entwicklung,entwickeln,leben,risiko,leben
bewerten,geschichte,sozial,beruflich,ethik,sozial,mensch
europa,fach,gesellschaftlich,erhalten,frieden,frage,thema
aktuell,vergangenheit,ökonomisch,vorstellung,frage,gestaltung,lernende
akteur,mensch,problem,reflektieren,herausforderung,kompetenzbereich,handeln
politisch,gesellschaft,ökologisch,frage,europa,hoffnung,bildung
ausgewählt,gestaltung,nachhaltig,mensch,iii,inhalt,inhalt
globalisierung,gesellschaftlich,fördern,persönlich,welt,markt,gegenwart
bereich,orientierung,herausforderung,blick,international,text,form
union,kompetenz,leisten,gelungen,gerechtigkeit,konflikt,deutschland
handlungsoption,politisch,beitrag,zielvorstellung,lernen,anlage,zukünftig
beispiel,fähigkeit,handeln,verschieden,bezug,umgang,themenfeld
möglich,zentral,mensch,beziehen,sozialstaat,befürchtung,beschreiben
wirtschaftlich,verständnis,gegenwart,medium,entwicklung,rolle,frage
erörtern,lernen,aspekt,glücklich,friedlich,reflektieren,datum
herausforderung,handeln,wissenschaft,kompetenz,sozial,handlungsspielraum,dimension
problem,geschichtsbewusstsein,politik,gesellschaftlich,gesellschaft,erfordernis,verbindlich
sozial,wirtschaftlich,frage,schuljahrgang,kompetenz,relevant,auseinandersetzung
reflektieren,menschlich,stellen,gestaltung,deutschland,form,verschieden
