Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
historisch,genetisch,beschreiben,gesellschaftlich,international,revolution,beschreiben
zusammenhang,beschreiben,stellen,erklären,folge,französisch,gewalt
sachverhalt,mensch,dar,beschreiben,politisch,krieg,verhalten
wirkung,kommunikation,folge,politisch,deutschland,deutsch,funktion
prozeß,bedeutung,historisch,analysieren,konflikt,kompetenz,erläutern
begründen,verhalten,konflikt,verschieden,erläutern,folge,wert
beispiel,folge,methodenkompetenz,sozial,entwicklung,konflikt,endogen
erklären,entwicklung,nutzen,armut,auswirkung,aufklärung,evolution
ereignis,variabilität,form,ökonomisch,sozial,kalt,mensch
modell,fortpflanzung,quelle,dar,akteur,europa,exogen
iii,lebewesen,unterscheid,wirtschaftlich,europäisch,darstellen,verschieden
darstellung,führen,zeigen,gesellschaft,global,gewalt,bedeutung
geeignet,selektion,exemplarisch,form,krieg,form,möglichkeit
sachverhalte,erklären,erläutern,zusammenhang,beschreiben,grundlage,fitness
folge,veränderung,entwickeln,entwicklung,demokratie,industriell,form
beurteilen,ultimat,thema,prozeß,ökonomisch,weltkrieg,reproduktiv
struktur,menschlich,kulturell,erläutern,wandel,benennen,grundlage
aussage,proximat,gegenwart,raum,weltkrieg,gesellschaft,möglich
darstellen,mutation,komplex,ausgewählt,unterschiedlich,vorurteil,erklären
entwicklung,organismus,darstellung,funktion,beurteilen,phase,abhängigkeit
