term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
verantwortung,561,0.0014,0.0023,0.0134,0.03,0.005,0.0002,0.0001,0.035,0.0232,0.0166,0.0395,0.0387
mensch,486,0.0439,0.0028,0.0282,0.0033,0.0,0.0041,0.0169,0.0,0.0169,0.0017,0.0427,0.0341
handeln,328,0.0198,0.0002,0.008,0.0042,0.0166,0.0009,0.0001,0.0313,0.0048,0.0001,0.0056,0.0225
gerechtigkeit,272,0.0117,0.0,0.0038,0.001,0.0049,0.0121,0.0001,0.0071,0.0237,0.0001,0.0276,0.0048
sozial,263,0.0056,0.0,0.0043,0.0,0.001,0.0104,0.0001,0.0259,0.0018,0.0701,0.0,0.0035
ethik,231,0.0041,0.0,0.0117,0.0,0.0,0.0,0.0001,0.0,0.033,0.0001,0.0439,0.0
gesellschaft,210,0.0,0.0151,0.0,0.0116,0.0,0.0114,0.0001,0.0139,0.0035,0.0001,0.0,0.0117
politisch,208,0.0,0.0058,0.0009,0.0,0.0001,0.0377,0.0172,0.0,0.0,0.0001,0.0,0.0
leben,199,0.0,0.0052,0.0002,0.0102,0.0,0.0041,0.0001,0.0204,0.0,0.0001,0.0109,0.0132
wert,198,0.0244,0.0,0.0026,0.0019,0.0,0.0059,0.0171,0.0031,0.0054,0.0117,0.0054,0.009
revolution,179,0.0,0.0,0.0,0.0,0.0974,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0
bedeutung,165,0.0063,0.0004,0.0,0.0,0.015,0.0087,0.0001,0.0084,0.007,0.0018,0.0073,0.0055
frage,157,0.0029,0.0,0.0192,0.0001,0.0,0.0073,0.0001,0.0091,0.0,0.0087,0.0,0.003
ethisch,153,0.0068,0.0,0.0033,0.0001,0.0001,0.0016,0.0023,0.0097,0.0161,0.0066,0.0091,0.0046
verschieden,150,0.0006,0.0,0.0029,0.013,0.0048,0.0075,0.0001,0.0018,0.0041,0.0068,0.0098,0.0039
begriff,144,0.0111,0.0,0.0079,0.003,0.0086,0.0,0.0001,0.0057,0.0,0.0023,0.0089,0.0074
möglichkeit,139,0.0001,0.0,0.0183,0.0107,0.0031,0.0035,0.0001,0.0057,0.0,0.0001,0.0038,0.0036
gesellschaftlich,136,0.0,0.0,0.0,0.0031,0.0,0.0142,0.0001,0.0109,0.0011,0.0059,0.0011,0.0015
menschenwürde,130,0.0256,0.0,0.0,0.0,0.0,0.0093,0.0001,0.0087,0.0,0.0001,0.0002,0.0
zusammenhang,125,0.0096,0.0,0.0,0.0005,0.0,0.0,0.0001,0.0137,0.0087,0.0219,0.002,0.0
französisch,117,0.0,0.0,0.0,0.0,0.0659,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0
frei,117,0.0,0.0,0.0105,0.0001,0.0,0.0,0.0001,0.0035,0.0,0.0001,0.0,0.0259
welt,116,0.0044,0.0019,0.0,0.0,0.0072,0.0,0.0001,0.0105,0.0,0.0001,0.0173,0.0
konflikt,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0319,0.0,0.0001,0.0,0.0
demokratie,109,0.0,0.0068,0.0,0.0001,0.0,0.02,0.0001,0.0024,0.0,0.0001,0.0,0.0
religion,107,0.0,0.0103,0.0025,0.0,0.0,0.0,0.0059,0.0,0.0226,0.0001,0.0056,0.0
norm,106,0.0129,0.0,0.0,0.0,0.0,0.0029,0.0246,0.004,0.0,0.0015,0.0,0.0043
perspektive,104,0.0,0.0124,0.0011,0.0,0.0,0.0016,0.0001,0.0066,0.0,0.0028,0.0,0.01
philosophisch,104,0.0027,0.0,0.013,0.001,0.0,0.0003,0.0004,0.0013,0.011,0.0001,0.0102,0.0001
