term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
entwicklung,210,0.0103,0.0093,0.0193,0.0032,0.0106
lebensraum,187,0.0278,0.0002,0.0001,0.0002,0.0022
organismus,187,0.0029,0.0008,0.0407,0.0002,0.0001
funktion,187,0.0111,0.0001,0.0286,0.0002,0.0001
variabilität,181,0.0,0.0001,0.0358,0.0002,0.0081
tier,164,0.0259,0.0001,0.0001,0.0002,0.0001
basiskonzept,162,0.0053,0.0032,0.0237,0.0002,0.0055
pflanze,160,0.023,0.0001,0.0016,0.0002,0.0016
lebewesen,154,0.0079,0.0001,0.0188,0.0002,0.0058
mensch,150,0.0137,0.0045,0.0054,0.0002,0.0074
struktur,148,0.0059,0.0001,0.0269,0.0002,0.0001
art,147,0.003,0.0001,0.0046,0.0073,0.0237
zusammenhang,145,0.0045,0.0087,0.0136,0.0042,0.0095
umwelt,130,0.0025,0.0001,0.0271,0.0002,0.0001
verschieden,123,0.009,0.0076,0.0028,0.002,0.0086
evolution,118,0.0017,0.0015,0.0011,0.0002,0.0241
ökosystem,117,0.0148,0.0003,0.0004,0.0002,0.0047
merkmal,102,0.0099,0.0092,0.0043,0.0038,0.0005
selektion,102,0.0,0.0001,0.0078,0.0002,0.0171
leben,98,0.0098,0.0001,0.0026,0.0054,0.0046
inhalt,98,0.0084,0.0014,0.0009,0.0075,0.008
bedeutung,94,0.0094,0.0039,0.0001,0.0045,0.0052
ökologisch,91,0.0085,0.0001,0.0025,0.0002,0.0066
umweltfaktor,89,0.0117,0.0001,0.0001,0.0085,0.0001
fortpflanzung,89,0.0104,0.0001,0.0062,0.0002,0.0001
individuum,89,0.0,0.0001,0.007,0.0002,0.0145
bau,85,0.0088,0.0001,0.0074,0.0002,0.0001
führen,85,0.0,0.0001,0.0044,0.0002,0.0161
abiotisch,84,0.0091,0.0001,0.0008,0.0002,0.0052
evolutionstheorie,84,0.0,0.0021,0.0001,0.0002,0.0192
veränderung,82,0.0043,0.0019,0.0001,0.0002,0.0122
ausgewählt,77,0.011,0.0018,0.0002,0.0015,0.0001
angepasst,72,0.0,0.0001,0.0081,0.0002,0.0094
unterschiedlich,70,0.0042,0.0046,0.0001,0.0002,0.0082
zelle,68,0.0,0.0001,0.0143,0.0002,0.0021
genetisch,67,0.0,0.0001,0.0089,0.0002,0.0073
entstehung,65,0.0,0.0001,0.0027,0.0002,0.013
kommunikation,65,0.0006,0.0083,0.004,0.0094,0.0038
ebene,63,0.0,0.0001,0.0133,0.0002,0.0018
osva,61,0.0,0.0001,0.0149,0.0002,0.0001
wirbeltier,59,0.0087,0.0001,0.0001,0.0002,0.0006
fitness,57,0.0,0.0001,0.0001,0.0002,0.0135
geschichte,54,0.0004,0.0092,0.0073,0.0019,0.0001
erkenntnisgewinnung,53,0.0016,0.0092,0.0001,0.0064,0.0037
evolutiv,53,0.0,0.0001,0.0095,0.0002,0.0034
verwandtschaft,52,0.0,0.0028,0.0106,0.0002,0.0009
reproduktiv,49,0.0,0.0001,0.0001,0.0002,0.0117
ermöglichen,48,0.0007,0.0001,0.0076,0.0058,0.0018
individuell,47,0.0,0.0015,0.0091,0.0003,0.0016
halle,46,0.0008,0.0216,0.0,0.0002,0.0
lernen,45,0.0,0.0001,0.0053,0.0187,0.0007
biologie,45,0.0,0.0125,0.0014,0.0002,0.0033
erklärung,45,0.0,0.0001,0.001,0.0002,0.0102
genpool,44,0.0,0.0001,0.0001,0.0002,0.0104
gymnasial,39,0.0,0.0045,0.0,0.0271,0.0
widerstand,36,0.0,0.0001,0.0,0.0269,0.0001
notwendig,32,0.0,0.0002,0.0,0.0281,0.0001
gemeinsam,32,0.0,0.0001,0.0038,0.0138,0.0001
bne,29,0.0028,0.0001,0.0001,0.0093,0.0001
methode,27,0.0007,0.0091,0.0001,0.0002,0.0011
fachlehrplan,25,0.0014,0.0094,0.0,0.0002,0.0
inhaltlich,25,0.0017,0.0006,0.0001,0.011,0.0001
mitwirken,24,0.0006,0.0113,0.0,0.0002,0.0
nationalsozialismus,24,0.0,0.0001,0.0001,0.0171,0.0001
leitung,23,0.0005,0.0107,0.0,0.0002,0.0
schuljahrgäng,23,0.0,0.0112,0.0001,0.0002,0.0
gesellschaft,23,0.0,0.0001,0.0015,0.0134,0.0001
kompetenzentwicklung,23,0.0,0.0125,0.0,0.0002,0.0
sozial,22,0.0004,0.0086,0.0,0.0046,0.0001
erziehung,22,0.0,0.0116,0.0,0.0002,0.0001
fachgruppe,20,0.0002,0.0097,0.0,0.0002,0.0
weltkrieg,19,0.0,0.0001,0.0,0.0138,0.0
darstellung,18,0.0,0.0087,0.0001,0.0002,0.0001
kurshalbjahr,17,0.0,0.0001,0.0,0.0154,0.0
magdeburg,16,0.0001,0.0086,0.0,0.0002,0.0
nationalsozialistisch,16,0.0,0.0001,0.0,0.0133,0.0
betreffen,16,0.0,0.0001,0.0014,0.0089,0.0
ideologie,16,0.0,0.0001,0.0,0.0115,0.0001
vorliegend,14,0.0,0.0082,0.0,0.0002,0.0001
europäisch,13,0.0,0.0001,0.0001,0.0093,0.0
gymnasium,12,0.0,0.0001,0.0,0.0106,0.0
herrschaft,12,0.0,0.0001,0.0001,0.0091,0.0
gegebenenfalls,11,0.0,0.0001,0.0,0.01,0.0
änderung,11,0.0,0.0001,0.0,0.0097,0.0001
