term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
transfer,92,0.0285,0.0448,0.0499,0.0423,0.0191,0.0012,0.0243
übertragung,76,0.0125,0.0177,0.0291,0.0197,0.0564,0.0275,0.0006
anforderungsbereich,55,0.0003,0.0005,0.001,0.022,0.0008,0.0102,0.0501
sachverhalte,41,0.0135,0.0005,0.0048,0.0004,0.0005,0.0011,0.058
operator,39,0.0003,0.0005,0.001,0.02,0.0003,0.0012,0.0251
zusammenhang,38,0.0003,0.0008,0.0149,0.0065,0.0003,0.062,0.0362
kompetenz,33,0.0003,0.02,0.001,0.0198,0.0003,0.0012,0.011
sachverhalt,31,0.0003,0.0005,0.0067,0.0007,0.0061,0.0011,0.0461
afb,30,0.0004,0.0005,0.001,0.0282,0.0006,0.0012,0.0002
reorganisation,29,0.0003,0.0005,0.001,0.0166,0.0005,0.0011,0.0251
darstellen,27,0.019,0.0005,0.001,0.001,0.0003,0.0037,0.0273
inhalt,26,0.0003,0.0047,0.0011,0.0003,0.034,0.0013,0.0002
methode,26,0.0027,0.0005,0.0011,0.0005,0.0268,0.0142,0.0002
erläutern,23,0.0162,0.0005,0.0011,0.0002,0.0003,0.0012,0.0059
kontext,23,0.0272,0.0005,0.001,0.0072,0.0003,0.0011,0.0002
lernen,23,0.0003,0.0214,0.0011,0.0002,0.0172,0.0011,0.0002
anwendung,22,0.0003,0.03,0.0212,0.0005,0.0004,0.0185,0.0002
bekannt,20,0.0003,0.0005,0.0179,0.0003,0.0115,0.0254,0.0002
fachmethode,19,0.0273,0.0005,0.001,0.0003,0.0003,0.0011,0.0002
material,19,0.0003,0.0005,0.0135,0.014,0.0003,0.0055,0.0265
modell,19,0.018,0.0081,0.0012,0.0002,0.0003,0.0034,0.0008
reflexion,19,0.0003,0.0183,0.001,0.0146,0.0005,0.0012,0.0006
vergleich,19,0.0003,0.0006,0.0463,0.0008,0.0004,0.0011,0.0051
datum,18,0.0003,0.0005,0.0075,0.004,0.0003,0.034,0.0132
kritisch,18,0.0166,0.0005,0.001,0.0003,0.014,0.0012,0.0002
ler,18,0.0133,0.0006,0.001,0.0148,0.0003,0.0011,0.0002
verwend,18,0.0262,0.0005,0.001,0.0003,0.0003,0.0011,0.0002
wissen,18,0.0003,0.0194,0.0048,0.0021,0.0095,0.0013,0.0002
fragestellung,17,0.0003,0.0005,0.0145,0.0022,0.0178,0.0115,0.0002
unterricht,17,0.0003,0.001,0.0012,0.0243,0.0007,0.0011,0.0006
ziel,17,0.0003,0.0442,0.001,0.0098,0.0003,0.0011,0.0002
aspekt,16,0.0003,0.0007,0.0066,0.0058,0.0068,0.0012,0.0236
biologisch,16,0.0003,0.0005,0.0475,0.0002,0.0003,0.0185,0.0003
iii,16,0.0003,0.0005,0.001,0.0142,0.0037,0.0012,0.0012
lernende,16,0.0003,0.0005,0.0011,0.0046,0.0312,0.0012,0.0002
reproduktion,16,0.0003,0.0005,0.001,0.0209,0.0004,0.0011,0.0005
umgang,16,0.0151,0.0006,0.001,0.0073,0.0013,0.0012,0.0002
anwenden,15,0.0133,0.0005,0.0156,0.0003,0.0028,0.0011,0.0002
arbeitstechnik,15,0.0142,0.0005,0.001,0.0003,0.006,0.0011,0.0002
beispiel,15,0.005,0.0005,0.0471,0.0046,0.0003,0.0012,0.0007
darstellung,15,0.0003,0.0025,0.0147,0.0003,0.0003,0.0273,0.0082
information,15,0.0004,0.0203,0.001,0.0002,0.002,0.0065,0.0109
kommunikation,15,0.0161,0.0005,0.0011,0.0002,0.0003,0.0012,0.0002
politisch,15,0.0003,0.0089,0.001,0.0381,0.0003,0.0011,0.0095
begründen,14,0.0187,0.0005,0.0051,0.0003,0.0027,0.0012,0.0002
verfahrensweise,14,0.0163,0.0005,0.001,0.0003,0.0004,0.0098,0.0002
bewerten,13,0.0064,0.0005,0.001,0.0284,0.0004,0.0012,0.0002
reflektieren,13,0.0154,0.0042,0.001,0.0003,0.0003,0.0011,0.0002
thema,13,0.0003,0.0011,0.001,0.0028,0.0224,0.0012,0.0002
eigenständig,12,0.0003,0.0005,0.001,0.0002,0.0009,0.0185,0.0056
entwickeln,12,0.0164,0.0005,0.001,0.0003,0.0003,0.0011,0.0002
nervensystem,12,0.0003,0.0005,0.001,0.0002,0.0137,0.0011,0.0002
wiedergabe,12,0.0003,0.0005,0.001,0.0002,0.0003,0.0011,0.0161
basiskonzept,11,0.0003,0.0005,0.0022,0.0004,0.0003,0.047,0.0002
historisch,11,0.0003,0.0006,0.001,0.0136,0.0076,0.0011,0.0002
leben,11,0.0003,0.0333,0.0013,0.0003,0.0003,0.0011,0.0002
nutzen,11,0.0003,0.0148,0.005,0.0002,0.0139,0.0011,0.0002
sach,11,0.0178,0.0005,0.001,0.0043,0.0003,0.0011,0.0002
struktur,11,0.0004,0.0005,0.0091,0.0008,0.0004,0.0013,0.0179
unbekannt,11,0.0152,0.0005,0.001,0.0003,0.0004,0.0011,0.0002
arbeiten,10,0.0003,0.0374,0.001,0.0002,0.0003,0.0011,0.0003
aufgabe,10,0.0003,0.0007,0.0084,0.0059,0.0003,0.0185,0.0011
bezogen,10,0.0003,0.0005,0.0016,0.0002,0.0132,0.0223,0.0002
fach,10,0.0037,0.0026,0.001,0.0048,0.0003,0.0186,0.0002
gestalten,10,0.0004,0.0005,0.001,0.0157,0.0003,0.0011,0.0002
handlung,10,0.0176,0.0005,0.001,0.0003,0.0003,0.0011,0.0003
kriterium,10,0.0003,0.0005,0.0016,0.0249,0.0003,0.0011,0.0002
ordn,10,0.0003,0.0005,0.016,0.0003,0.0071,0.0011,0.0002
positionieren,10,0.0142,0.0005,0.001,0.0003,0.0004,0.0011,0.0002
region,10,0.0003,0.034,0.0011,0.0052,0.0003,0.0011,0.0002
verwendung,10,0.0003,0.0005,0.0011,0.0003,0.0004,0.0012,0.0192
analyse,9,0.0003,0.0005,0.0245,0.0061,0.0003,0.0011,0.0002
begriff,9,0.0003,0.0006,0.0274,0.0084,0.0003,0.0011,0.0002
berücksichtigen,9,0.0003,0.0005,0.0168,0.0049,0.0026,0.0011,0.0011
erschließen,9,0.0003,0.0024,0.001,0.0003,0.0003,0.0011,0.0179
geeignet,9,0.0003,0.0005,0.0011,0.0002,0.0175,0.0012,0.0003
kulturell,9,0.0003,0.025,0.0011,0.0056,0.0003,0.0011,0.0002
römer,9,0.0003,0.042,0.001,0.0002,0.0003,0.0011,0.0002
sozial,9,0.0003,0.0005,0.0011,0.0188,0.0065,0.0012,0.0002
verschieden,9,0.0003,0.0005,0.0139,0.0103,0.0003,0.0011,0.0013
gerecht,8,0.0003,0.0005,0.001,0.0139,0.0003,0.0012,0.0002
gesellschaft,8,0.0003,0.0024,0.0419,0.0002,0.0074,0.0012,0.0002
komplex,8,0.0024,0.0005,0.001,0.0002,0.0025,0.0186,0.0002
lösung,8,0.0003,0.0035,0.0177,0.002,0.0003,0.0011,0.0003
persönlich,8,0.0003,0.0005,0.001,0.0002,0.0238,0.0011,0.0002
strukturiert,8,0.0003,0.0005,0.001,0.0002,0.0003,0.0185,0.0079
ablauf,7,0.0009,0.0005,0.0018,0.0002,0.0003,0.0239,0.0009
auseinander,7,0.0003,0.0005,0.001,0.0042,0.018,0.0011,0.0002
beschreibe,7,0.0003,0.0005,0.001,0.0003,0.0003,0.0011,0.0171
biologie,7,0.0003,0.0005,0.001,0.0002,0.0036,0.0185,0.0002
gehören,7,0.0003,0.004,0.0012,0.0003,0.0004,0.0227,0.0002
gesellschaftlich,7,0.0003,0.0005,0.001,0.0002,0.019,0.0011,0.0002
grundsätzlich,7,0.0003,0.0005,0.001,0.0002,0.0154,0.0011,0.0002
privat,7,0.0214,0.0005,0.001,0.0002,0.0003,0.0012,0.0003
problem,7,0.0003,0.0005,0.0206,0.0052,0.0003,0.0011,0.0002
staat,7,0.0003,0.0382,0.001,0.0003,0.0003,0.0011,0.0002
wiedergeben,7,0.0003,0.0005,0.001,0.0003,0.0003,0.0011,0.0171
zielen,7,0.0003,0.0028,0.001,0.0002,0.0141,0.0011,0.0002
deutschland,6,0.0048,0.0222,0.001,0.0002,0.0003,0.0011,0.0002
dimension,6,0.0003,0.0241,0.0011,0.0002,0.0003,0.0011,0.0002
erweitern,6,0.0003,0.0179,0.001,0.0003,0.0003,0.0011,0.0002
insbesondere,6,0.0003,0.0005,0.001,0.0003,0.0143,0.0011,0.0002
kompetenzbereiche,6,0.0003,0.0005,0.001,0.0002,0.0143,0.0011,0.0002
stärken,6,0.0003,0.0179,0.001,0.0003,0.0003,0.0011,0.0002
wesentliche,6,0.0003,0.0011,0.001,0.0003,0.0003,0.0011,0.0162
wirtschaftlich,6,0.0003,0.0005,0.001,0.0061,0.0146,0.0011,0.0002
analysier,5,0.0003,0.0005,0.001,0.0003,0.0003,0.0011,0.0157
anpassung,5,0.0003,0.0005,0.001,0.0002,0.0003,0.0228,0.0002
aufführ,5,0.0003,0.0005,0.001,0.0003,0.0003,0.0011,0.0157
ausgewählt,5,0.0004,0.0005,0.0183,0.0003,0.0004,0.0012,0.0005
geografisch,5,0.0003,0.0222,0.001,0.0002,0.0003,0.0011,0.0002
modellvorstellung,5,0.0003,0.0005,0.0015,0.0002,0.0003,0.0223,0.0002
präzise,5,0.0003,0.0005,0.001,0.0003,0.0003,0.0011,0.0157
römisch,5,0.0003,0.0222,0.001,0.0003,0.0003,0.0011,0.0002
sachgerecht,5,0.0003,0.0005,0.001,0.0002,0.0003,0.0216,0.0004
