topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,4,0.2276,554,39.7718
2,3,0.163,372,64.776
3,7,0.1572,311,65.1871
4,6,0.1478,315,54.977
5,1,0.1123,213,36.9035
6,2,0.0998,211,40.107
7,5,0.0923,159,45.0855
