term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
mensch,345,0.0001,0.0011,0.003,0.0366,0.0099,0.0016,0.0216,0.0162,0.0157,0.0117,0.0031,0.0307
sozial,276,0.0001,0.0001,0.0059,0.0,0.0001,0.003,0.0251,0.0,0.0533,0.0033,0.0158,0.0106
verschieden,207,0.0001,0.0058,0.0059,0.0,0.0001,0.0232,0.0055,0.0,0.003,0.004,0.0032,0.0135
entwicklung,205,0.0001,0.0099,0.0001,0.0,0.0001,0.0106,0.0001,0.0023,0.0,0.0249,0.0001,0.0127
menschlich,199,0.0001,0.011,0.0022,0.0,0.0001,0.0274,0.0001,0.0079,0.0002,0.0083,0.0,0.0066
erleben,172,0.0001,0.0001,0.0,0.0,0.0235,0.0408,0.0001,0.0,0.0,0.0,0.0,0.0
lernen,171,0.0092,0.0001,0.0303,0.0,0.0272,0.0,0.0001,0.0,0.0,0.007,0.0004,0.0029
entwickeln,159,0.008,0.0001,0.0148,0.0,0.0001,0.0137,0.0001,0.0,0.0018,0.0,0.0,0.0118
handeln,153,0.0084,0.0001,0.0202,0.0,0.0001,0.0,0.0001,0.0,0.0084,0.0005,0.0091,0.0093
fähigkeit,150,0.0001,0.0001,0.0292,0.0,0.0001,0.012,0.0001,0.0,0.0107,0.0,0.0001,0.0
psychologie,132,0.0001,0.0045,0.0,0.0,0.0523,0.015,0.0001,0.0,0.0009,0.0,0.0,0.0
ursache,131,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0516,0.0,0.0,0.0,0.0
psychologisch,125,0.0001,0.0001,0.0,0.0,0.0001,0.0365,0.0001,0.0,0.0,0.0,0.0,0.0
regel,124,0.0603,0.0001,0.0056,0.0,0.0001,0.0059,0.0001,0.0,0.0043,0.0,0.0,0.0
kenntnis,122,0.0586,0.0025,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0041,0.0,0.0064
kommunikation,120,0.0001,0.0206,0.0,0.0,0.0001,0.0,0.0001,0.0101,0.0,0.0158,0.0,0.0018
bedeutung,119,0.0001,0.0042,0.0,0.0,0.0001,0.0032,0.0063,0.0037,0.0053,0.009,0.0011,0.0078
wert,114,0.0044,0.0045,0.0,0.0,0.0001,0.0,0.0001,0.0206,0.0058,0.0,0.006,0.0043
evolution,113,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0409,0.0,0.0,0.0,0.0019
unterschiedlich,109,0.0001,0.0001,0.0069,0.0,0.0001,0.0089,0.0001,0.0,0.0036,0.0,0.0073,0.0077
