topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.3014,447,27.6491
2,1,0.1469,158,41.3317
3,4,0.1262,141,68.9079
4,2,0.1232,157,37.1826
5,3,0.11,123,50.7084
6,5,0.101,116,88.3255
7,7,0.0913,94,28.8605
